Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\JibSTDTest2_270325.csv,
Starttime of export,133875519068190000,torsdag 27. mars 2025,13:25:06.819
Endtime of export,133875519692590000,torsdag 27. mars 2025,13:26:09.259


Name,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,0.071328950313654813,21.849625564732222,0.28119667683836996,150.71667605987267,0.73029665760233753,0.73029665760233753,0,0,0,0,0,0,0,-7.1802424894684691E-08,62.634215115714859,57.86830436816664,80.830373488234287,57.91941989117489,0.24979806164882321,0.24979806164882321,0,0,0,0,0,0,-4.4404867119429703E-07,0,0,0,0.051234192465738661,-0.021750335017008557,0.021574525464163469,-0.019137771375655931,-0.021469515372589891,-0.020242914979757085
10,0.0715218385128861,21.848856672089276,0.28116657981449161,150.71852645440768,0.73029648236733569,0.73029648236733569,0,0,0,0,0,0,0,1.7523500184246643E-07,62.633464519298776,57.86995264448322,80.829353449414143,57.919915520096367,0.24979798017539262,0.24979798017539262,0,0,0,0,0,0,8.1473430585399242E-08,0,0,0,0.051234192465738661,-0.021647252860529841,0.021574525464163469,-0.019137771375655931,-0.021261073475768631,-0.020035295338939062
20,0.071656194709817531,21.847828210631008,0.2811375926410758,150.72004448022662,0.7302962202421559,0.7302962202421559,0,0,0,0,0,0,0,2.6212517978407845E-07,62.632550409851284,57.871379188951444,80.828600504204118,57.920431943480871,0.24979662999765556,0.24979662999765556,0,0,0,0,0,0,1.3501777370583667E-06,0,0,0,0.051234192465738661,-0.021956499329965982,0.021989420184628152,-0.019755118839386767,-0.021573736321000521,-0.020242914979757085
30,0.071784882402601419,21.8466154981362,0.28106153823771229,150.72130187080822,0.73029615499104716,0.73029615499104716,0,0,0,0,0,0,0,6.525110873845108E-08,62.631876468704746,57.872790843966285,80.828286663393769,57.9209652748233,0.2497966578216344,0.2497966578216344,0,0,0,0,0,0,-2.7823978843155572E-08,0,0,0,0.051234192465738661,-0.021956499329965982,0.02188569650451198,-0.019549336351476491,-0.021469515372589891,-0.020035295338939062
40,0.071859704344127126,21.845769816200786,0.28099109203747863,150.72250959320425,0.730295994369279,0.730295994369279,0,0,0,0,0,0,0,1.6062176821929341E-07,62.63161678727311,57.874617095665322,80.827892219203335,57.921367327518944,0.24979778305137573,0.24979778305137573,0,0,0,0,0,0,-1.1252297413277823E-06,0,0,0,0.051234192465738661,-0.021544170704051128,0.021367078103931129,-0.019034880131700793,-0.020844189682126108,-0.019516246236894009
50,0.071885151533753619,21.845454661560908,0.28087784092055573,150.72342632842415,0.73029574748537407,0.73029574748537407,0,0,0,0,0,0,0,2.4688390487526135E-07,62.631735580589194,57.876572929712793,80.827425891063712,57.921407214948218,0.24979753313020633,0.24979753313020633,0,0,0,0,0,0,2.4992116939848152E-07,0,0,0,0.051234192465738661,-0.021544170704051128,0.021367078103931129,-0.019137771375655931,-0.020948410630536738,-0.019827675698121043
60,0.071913703733329032,21.845527751186879,0.28062964973217247,150.72426708537543,0.730295560483324,0.730295560483324,0,0,0,0,0,0,0,1.870020500671643E-07,62.632150556397328,57.878301760111981,80.826751328708625,57.921454311088816,0.24979745359838829,0.24979745359838829,0,0,0,0,0,0,7.953181804798426E-08,0,0,0,0.051234192465738661,-0.02185341717348727,0.021574525464163469,-0.019446445107521349,-0.021573736321000521,-0.020242914979757085
70,0.0720413581163135,21.845761526462049,0.28040406744610097,150.72503529613374,0.73029529127614046,0.73029529127614046,0,0,0,0,0,0,0,2.6920718354528361E-07,62.632544600965055,57.879768739828286,80.825648733916012,57.922134297143536,0.24979895199042429,0.24979895199042429,0,0,0,0,0,0,-1.4983920360034375E-06,0,0,0,0.051234192465738661,-0.022368827955880837,0.02209314386474432,-0.019755118839386767,-0.022094841063053674,-0.020761964081802139
80,0.072162418938466449,21.84589982183569,0.28029636144832443,150.72558979551403,0.73029494823116659,0.73029494823116659,0,0,0,0,0,0,0,3.4304497387172006E-07,62.633158983060149,57.880943151998082,80.824112300617443,57.922954515432771,0.24979935353864033,0.24979935353864033,0,0,0,0,0,0,-4.0154821603910484E-07,0,0,0,0.051234192465738661,-0.022368827955880837,0.022300591224976664,-0.019858010083341909,-0.022094841063053674,-0.020969583722620162
