Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\MainSTDTest1_270325.csv,
Starttime of export,133875522104190000,torsdag 27. mars 2025,13:30:10.419
Endtime of export,133875522631590000,torsdag 27. mars 2025,13:31:03.159


Name,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,0.070797457942295416,57.920507681153005,0.28128870050804144,150.67036393641072,0.29989104516636261,0.29989104516636261,0,0,0,0,0,0,0,-6.9526725321455984E-08,50.359583068522973,54.114433333985346,62.761874526328164,66.436532795061112,0.8244341438421674,0.8244341438421674,0,0,0,0,0,0,1.5417978788123676E-06,0,0,0,0.13672288677093886,-0.02247191011235955,0.022300591224976664,-0.020681140034983024,-0.021990620114643044,-0.020969583722620162
10,0.070572178068640759,57.920563219371942,0.28097308078925409,150.66969746207099,0.29989103820940882,0.29989103820940882,0,0,0,0,0,0,0,6.9569537908265033E-09,50.3596714972682,54.11296790657093,62.762174203611622,66.437111948205228,0.82443266240911017,0.82443266240911017,0,0,0,0,0,0,1.4814330572265888E-06,0,0,0,0.13672288677093886,-0.02185341717348727,0.02167824914427964,-0.020166683815207326,-0.021573736321000521,-0.020346724800166097
20,0.070329272737772411,57.92067610046913,0.28063651280418483,150.66897045253046,0.29989096159240147,0.29989096159240147,0,0,0,0,0,0,0,7.6617007349621957E-08,50.359976724945504,54.11164237804153,62.76248000391049,66.437718573437,0.82443108378535856,0.82443108378535856,0,0,0,0,0,0,1.5786237516079993E-06,0,0,0,0.13672288677093886,-0.021750335017008557,0.021574525464163469,-0.019960901327297047,-0.021365294424179261,-0.020035295338939062
30,0.0701194599568323,57.921226326641715,0.280426765379288,150.66799838533009,0.29989082180764171,0.29989082180764171,0,0,0,0,0,0,0,1.3978475976728078E-07,50.36047828231878,54.110449550286646,62.7627419829983,66.438636992181429,0.82442973891941185,0.82442973891941185,0,0,0,0,0,0,1.3448659467174551E-06,0,0,0,0.13672288677093886,-0.021234924234614989,0.021159630743698785,-0.019137771375655931,-0.020739968733715478,-0.019412436416485
40,0.069892434608499518,57.921642742341184,0.28033339758614678,150.66675868038882,0.29989076252419744,0.29989076252419744,0,0,0,0,0,0,0,5.9283444264757179E-08,50.361156743921761,54.109575112515245,62.763348543661039,66.439787680526635,0.82442877038951923,0.82442877038951923,0,0,0,0,0,0,9.6852989261986266E-07,0,0,0,0.13672288677093886,-0.021956499329965982,0.02188569650451198,-0.019960901327297047,-0.021469515372589891,-0.020242914979757085
50,0.069698815319834947,57.921983786608081,0.2803464368044285,150.66556917091947,0.29989091432723319,0.29989091432723319,0,0,0,0,0,0,0,-1.5180303575279552E-07,50.361608168811962,54.108560489394534,62.763591972002615,66.441000878108767,0.82442799053884042,0.82442799053884042,0,0,0,0,0,0,7.7985067881147785E-07,0,0,0,0.13672288677093886,-0.022162663642923412,0.021989420184628152,-0.020372466303117606,-0.021677957269411151,-0.020761964081802139
60,0.069440012287960914,57.9221584245857,0.28045637647945171,150.6647192500559,0.29989112035652293,0.29989112035652293,0,0,0,0,0,0,0,-2.0602928973989521E-07,50.361561791395275,54.107277564342567,62.763407188297393,66.442507205483665,0.82442738568050911,0.82442738568050911,0,0,0,0,0,0,6.0485833131007638E-07,0,0,0,0.13672288677093886,-0.022574992268838263,0.022300591224976664,-0.020681140034983024,-0.022199062011464304,-0.020969583722620162
70,0.069122839301105382,57.922228946202694,0.28055778644211654,150.66442306259509,0.29989123747599639,0.29989123747599639,0,0,0,0,0,0,0,-1.1711947345283136E-07,50.36115841410686,54.106092593115186,62.763363093845307,66.44422647618363,0.82442710069310265,0.82442710069310265,0,0,0,0,0,0,2.8498740645144238E-07,0,0,0,0.13672288677093886,-0.022059581486444695,0.02209314386474432,-0.020269575059162465,-0.021677957269411151,-0.020554344440984116
80,0.0688501209225134,57.922348903282312,0.28060283137373737,150.66453618858756,0.29989141062788377,0.29989141062788377,0,0,0,0,0,0,0,-1.7315188738376008E-07,50.360768701878492,54.105387093031524,62.76354374720357,66.445699245068454,0.82442710827872467,0.82442710827872467,0,0,0,0,0,0,-7.5856220194125967E-09,0,0,0,0.13672288677093886,-0.02102875992165756,0.020952183383466445,-0.019446445107521349,-0.020635747785304845,-0.019516246236894009
90,0.068715369465717741,57.922224272142707,0.28074092060415745,150.66502181079466,0.299891771653981,0.299891771653981,0,0,0,0,0,0,0,-3.6102609723975831E-07,50.360730329276429,54.105265823306411,62.763783885921661,66.447037987250752,0.82442754045017641,0.82442754045017641,0,0,0,0,0,0,-4.3217145173635174E-07,0,0,0,0.13672288677093886,-0.021647252860529841,0.021574525464163469,-0.020063792571252185,-0.021261073475768631,-0.020242914979757085
100,0.068706857490489243,57.921684506750537,0.28101143417886393,150.66555575552439,0.29989230243495174,0.29989230243495174,0,0,0,0,0,0,0,-5.3078097073111508E-07,50.360723071182193,54.105002648773109,62.764221854935528,66.448056555293334,0.82442804169340567,0.82442804169340567,0,0,0,0,0,0,-5.0124322925615417E-07,0,0,0,0.13672288677093886,-0.021544170704051128,0.021367078103931129,-0.019755118839386767,-0.021156852527357998,-0.020035295338939062
110,0.068813401255983647,57.92091320456732,0.28125695854046256,150.66540872754419,0.29989271078277352,0.29989271078277352,0,0,0,0,0,0,0,-4.0834782177867623E-07,50.360888770182676,54.104755796427469,62.764645574882,66.448875763772151,0.82442828781182209,0.82442828781182209,0,0,0,0,0,0,-2.4611841642485643E-07,0,0,0,0.13672288677093886,-0.022368827955880837,0.022300591224976664,-0.020578248791027882,-0.022094841063053674,-0.020969583722620162
120,0.068927970763585839,57.920367720475433,0.28147874488059649,150.66502736012569,0.29989300596447677,0.29989300596447677,0,0,0,0,0,0,0,-2.951817032470494E-07,50.361066824866533,54.1050067194368,62.765054639120564,66.449702864799718,0.82442814246348017,0.82442814246348017,0,0,0,0,0,0,1.4534834191781698E-07,0,0,0,0.13672288677093886,-0.022574992268838263,0.022508038585209004,-0.020784031278938162,-0.021990620114643044,-0.02086577390221115
