RIO Name,Type,Channel Number,"Cable Marking, Colour",Function,PLC Name,
EL3068.0,"AI, 1-10v",1,"1, yellow",Winch joystick,,
EL3068.0,"AI, 1-10v",2,"2, yellow",Slew joystick,,
EL3068.0,"AI, 1-10v",3,"3, yellow",Cylinder 2 joystick,,
EL3068.0,"AI, 1-10v",4,"4, yellow",Cylinder 3 joystick,,
EL3068.0,"AI, 1-10v",5,"5, yellow",Telescope joystick,,
EL3068.0,"AI, 1-10v",6,"22, white",Slew encoder,,
EL3068.0,"AI, 1-10v",7,"23, white",Cylinder 2 encoder,,
EL3068.0,"AI, 1-10v",8," 24, white",Cylinder 3 encoder,,
---,---,---,,---,,
EL3068.1,"AI, 1-10v",1 (NC),NC,NC,,
EL3068.1,"AI, 1-10v",2,31,Pressure A Slew,Pa,
EL3068.1,"AI, 1-10v",3,32,Pressure B Slew,Pb,
EL3068.1,"AI, 1-10v",4,33,Pressure A Cylinder 2,Pa,Main Pa
EL3068.1,"AI, 1-10v",5,34,Pressure B1 Cylinder 2,Pb,Main Pb
EL3068.1,"AI, 1-10v",6,35,Pressure M1 Cylinder 2,Pa1,Main Pa etter CBV
EL3068.1,"AI, 1-10v",7,36,Pressure supply,Main,Ps
EL3068.1,"AI, 1-10v",8,37,Load winch,PWinchLoad,
---,---,---,,---,,
EL3068.2,"AI, 1-10v",1,38,Pressure telescope A,Pa,
EL3068.2,"AI, 1-10v",2,39,Pressure telescope B,Pb,
EL3068.2,"AI, 1-10v",3,310,Pressure jib M1,Pa1,Jib Pa etter CBV
EL3068.2,"AI, 1-10v",4,311,Pressure jib M2,Pb1,Jib Pb etter CBV
EL3068.2,"AI, 1-10v",5,312,Pressure jib V1,Pa,Jib Pb
EL3068.2,"AI, 1-10v",6,313,Pressure jib V2,Pb,Jib Pa
EL3068.2,"AI, 1-10v",7,41,Slew valve feedback,,
EL3068.2,"AI, 1-10v",8,42,Cylinder 2 valve feedback,,Main CylinderPos
---,---,---,,---,,
EL3068.3,"AI, 1-10v",1,43,Cylinder 3 valve feedback,,
EL3068.3,"AI, 1-10v",2,44,Telescope valve feedback,,
EL3068.3,"AI, 1-10v",3,,,,
EL3068.3,"AI, 1-10v",4,,,,
EL3068.3,"AI, 1-10v",5,,,,
EL3068.3,"AI, 1-10v",6,,,,
EL3068.3,"AI, 1-10v",7,,,,
EL3068.3,"AI, 1-10v",8,,,,
---,---,---,,,,
EL4008.0,"AO, 1-10v",1,"11, white","Winch valve actuation, Valve number 1",,
EL4008.0,"AO, 1-10v",2,"12, white","Slew valve actuation, Valve number 2",,
EL4008.0,"AO, 1-10v",3,"13, white","Cylinder 2 valve actuation, Valve number 3",,
EL4008.0,"AO, 1-10v",4,"14, white","Cylinder 3 valve actuation, Valve number 4",,
EL4008.0,"AO, 1-10v",5,"15, white","Telescope valve actuation, Valve number 5",,
EL4008.0,"AO, 1-10v",6,,-,,
EL4008.0,"AO, 1-10v",7,,-,,
EL4008.0,"AO, 1-10v",8,,-,,
---,---,---,,---,,
EL4004.0,"AO, 1-10v",1,,-,,
EL4004.0,"AO, 1-10v",2,,-,,
EL4004.0,"AO, 1-10v",3,,-,,
EL4004.0,"AO, 1-10v",4,,-,,
EL4004.0,"AO, 1-10v",5,,-,,
EL4004.0,"AO, 1-10v",6,,-,,
EL4004.0,"AO, 1-10v",7,,-,,
EL4004.0,"AO, 1-10v",8,,-,,
—-,—-,—,—-,—-,,
EK1818,DI,1,#NAME?,EM stop. False if button is pressed,,
