Name,MainPaCyl,time,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name_2,JibPaCyl,Name_3,JibPaDCV,Name_4,JibPbCyl,Name_5,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_7,JoystickJib,JoystickMain,Name_8,JoystickRotation,JoystickWinch
0,34.6166777101793,0,0.211963010544337,152.050919093079,-3.21603812253845e-05,0.500531127556005,0.500531127556005,0,0,0,0,0,0,0,1.5530976023026e-06,-0.00279137546922209,0,0,0,41.6450735090199,0,27.8112183169505,0,80.0404329719998,0,63.9425396387881,0.0800650398028896,0.0800650398028896,0,0,0,0,0,0,1.3190966272697e-05,0,-0.000606189153721737,0,0,0,0,0,0.803819879411109,0,0,0,0,0,0,0
5,34.6293877813453,0.01,0.210915341208531,151.991673042433,-1.16275929200912e-05,0.500505598362801,0.500505598362801,0,0,0,0,0,0,0,2.5529193204421e-05,-0.00279137546922209,0,0,5,41.6599202490967,10,27.8077541760769,5,80.0420075850754,10,63.9201985760378,0.0800454956025507,0.0800454956025507,0,0,0,0,0,0,1.9544200338964e-05,0,-0.000606189153721737,0,0,5,0,0,0.803819879411109,0,10,0,0,5,0,0
10,34.6278407260206,0.02,0.209268522859556,151.970511678284,-2.68172533670129e-06,0.500481472350864,0.500481472350864,0,-0.00164836339301644,-1.98853874916357e-06,-1.21176580027155e-06,0,0,0,2.41260119371312e-05,-0.00279137546922209,0,0,10,41.6785242286159,20,27.8031004293318,10,80.0430050225365,20,63.9004698826203,0.080036452468239,0.080036452468239,0,-0.00123828352517386,-1.31293656868977e-06,-7.29409204827648e-07,0,0,9.0431343117009e-06,0,-0.000606189153721737,0,0,10,0,0,0.803819879411109,0,20,0,0,10,0,0
15,34.6278709277154,0.03,0.208206169277311,151.984171840834,2.00869134564956e-07,0.50049973544258,0.50049973544258,0,-0.0010512496512618,-1.26819770169327e-06,-7.72807974469338e-07,0,0,0,-1.8263091715931e-05,-0.00279137546922209,0,0,15,41.6977868229453,30,27.7630722519015,15,80.0474046610302,30,63.8987875245262,0.080036000262569,0.080036000262569,0,0,0,0,0,0,4.52205670006811e-07,0,-0.000606189153721737,0,0,15,0,0,0.803819879411109,0,30,0,0,15,0,0
20,34.6285922150478,0.04,0.212065660921005,151.947770507799,6.76340477982836e-07,0.500528710999275,0.500528710999275,0,0,0,0,0,0,0,-2.89755566958982e-05,-0.00279137546922209,0,0,20,41.7067067892373,40,27.7718949358143,20,80.0545244181455,40,63.9344416744229,0.0800374124498527,0.0800374124498527,0,0,0,0,0,0,-1.41218728370862e-06,0,-0.000606189153721737,0,0,20,0,0,0.803819879411109,0,40,0,0,20,0,0
25,34.6218805804957,0.05,0.216080928248356,151.9415338349,4.8094793920195e-07,0.500555274607779,0.500555274607779,0,0.0017976293445443,2.16860895079596e-06,1.32149607939129e-06,0,0,0,-2.65636085035048e-05,-0.00279137546922209,0,0,25,41.7077649209117,50,27.87208821207,25,80.0579197581601,50,63.9285178629305,0.0800246138199191,0.0800246138199191,0,0,0,0,0,0,1.27986299335719e-05,0,-0.000606189153721737,0,0,25,0,0,0.803819879411109,0,50,0,0,25,0,0
30,34.6167505931781,0.06,0.218417175567401,151.984671703155,0.00626237615042569,0.500561581798193,0.500561581798193,0,0.00200136424393094,2.41438894306204e-06,1.47126826217843e-06,0,0,0,-6.30719041450067e-06,-0.00279137546922209,0,0,30,41.7128147501896,60,27.9294812455051,30,80.0591418724559,60,63.9025558695436,0.0800118005412609,0.0800118005412609,0,0,0,0,0,0,1.2813278658208e-05,0,-0.000606189153721737,0,0,30,0,0,0.803819879411109,0,60,0,0,30,0,0
35,34.6054942783517,0.07,0.219432106365103,152.021279372148,0.0152086608272174,0.500561902058405,0.500561902058405,0,0.0012009804205988,1.44882864632001e-06,8.82879956351256e-07,0,0,0,-3.2026021112852e-07,-0.00279137546922209,0,0,35,41.7207432198305,70,27.9127621346869,35,80.0630270102016,70,63.8933300331613,0.0800262691775998,0.0800262691775998,0,0,0,0,0,0,-1.4468636338888e-05,0,-0.000606189153721737,0,0,35,0,0,0.803819879411109,0,70,0,0,35,0,0
40,34.5913868331696,0.08,0.217308270404611,152.048359454064,0.0146067036633728,0.500568759311492,0.500568759311492,0,0,0,0,0,0,0,-6.85725308791074e-06,-0.00279137546922209,0,0,40,41.722984627188,80,27.9046300688598,40,80.0731991028779,80,63.9053650562283,0.0800408426245022,0.0800408426245022,0,0,0,0,0,0,-1.45734469023939e-05,0,-0.000606189153721737,0,0,40,0,0,0.803819879411109,0,80,0,0,40,0,0
45,34.5877560639578,0.09,0.213571444394239,152.036538610488,0.0107209101883509,0.500584908111504,0.500584908111504,0,0,0,0,0,0,0,-1.61488000117727e-05,-0.00279137546922209,0,0,45,41.7166483227759,90,27.9074752906577,45,80.0883687858804,90,63.9302918557442,0.0800458150912237,0.0800458150912237,0,0,0,0,0,0,-4.97246672150065e-06,0,-0.000606189153721737,0,0,45,0,0,0.803819879411109,0,90,0,0,45,0,0
