time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_8,JoystickRotation,JoystickWinch
0,14.5965910126244,0,57.0247024871803,0,93.8240655858346,0,0,0,1.41725100227445,0,0,0,0
0.005,14.5995467913299,5,57.0175226723623,5,93.8183370512486,5,0,0,1.41725100227445,0,5,0,0
0.01,14.6009300743128,10,57.003426728641,10,93.8246481976025,10,0,0,1.41725100227445,0,10,0,0
0.015,14.6014036445136,15,56.9846683790037,15,93.8352850718498,15,0,0,1.41725100227445,0,15,0,0
0.02,14.6147459705768,20,56.9915642589283,20,93.8518880570696,20,0,0,1.41725100227445,0,20,0,0
0.025,14.6259629224187,25,56.9953565454863,25,93.860905119636,25,0,0,1.41725100227445,0,25,0,0
0.03,14.6287717826734,30,56.9895623371821,30,93.8632612969405,30,0,0,1.41725100227445,0,30,0,0
0.035,14.6388705484523,35,56.9766313134331,35,93.8604048197828,35,0,0,1.41725100227445,0,35,0,0
0.04,14.6372642003881,40,56.9530397487668,40,93.8556948598322,40,0,0,1.41725100227445,0,40,0,0
0.045,14.6269324451334,45,56.9379607889829,45,93.8509027419211,45,0,0,1.41725100227445,0,45,0,0
0.05,14.6238963415348,50,56.9347107123264,50,93.8468227099911,50,0,0,1.41725100227445,0,50,0,0
0.055,14.6188339368072,55,56.9429053042863,55,93.8456002332208,55,0,0,1.41725100227445,0,55,0,0
0.06,14.613668173093,60,56.9529627311639,60,93.8439229685949,60,0,0,1.41725100227445,0,60,0,0
0.065,14.6054509120491,65,56.958458811023,65,93.8461195733003,65,0,0,1.41725100227445,0,65,0,0
0.07,14.6009832659608,70,56.9668032756743,70,93.8401506584426,70,0,0,1.41725100227445,0,70,0,0
0.075,14.6026799896935,75,56.969382369758,75,93.8257927795035,75,0,0,1.41725100227445,0,75,0,0
0.08,14.612550015444,80,56.9766404987213,80,93.8080699507673,80,0,0,1.41725100227445,0,80,0,0
