time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_8,JoystickRotation,JoystickWinch
0,33.7913778686842,0,43.2603060794431,0,79.7123003185475,0,0,0,1.0282051978093,0,0,0,0
0.005,33.8153385737382,5,43.2672897595405,5,79.6911411570358,5,0,0,1.0282051978093,0,5,0,0
0.01,33.8295917174786,10,43.2906759825552,10,79.6835243210111,10,0,0,1.0282051978093,0,10,0,0
0.015,33.8373366527812,15,43.3214587570644,15,79.6868836503414,15,0,0,1.0282051978093,0,15,0,0
0.02,33.8390947864206,20,43.3545100847566,20,79.7021856492281,20,0,0,1.0282051978093,0,20,0,0
0.025,33.8455624712304,25,43.3814946440944,25,79.7184602929086,25,0,0,1.0282051978093,0,25,0,0
0.03,33.8492851973427,30,43.393963844049,30,79.7269037248622,30,0,0,1.0282051978093,0,30,0,0
0.035,33.8397779230855,35,43.3980824687268,35,79.7362927973217,35,0,0,1.0282051978093,0,35,0,0
0.04,33.8144811822187,40,43.3997803950453,40,79.7370076960769,40,0,0,1.0282051978093,0,40,0,0
0.045,33.7823566900141,45,43.4020515817348,45,79.7414095303673,45,0,0,1.0282051978093,0,45,0,0
0.05,33.7503303787983,50,43.4080335739061,50,79.7505630393495,50,0,0,1.0282051978093,0,50,0,0
0.055,33.7252548481602,55,43.4070932804293,55,79.7622896258958,55,0,0,1.0282051978093,0,55,0,0
0.06,33.7205054128502,60,43.4051523668075,60,79.7676012440609,60,0,0,1.0282051978093,0,60,0,0
0.065,33.7273707231567,65,43.3935416766339,65,79.7730660438897,65,0,0,1.0282051978093,0,65,0,0
0.07,33.7478192113534,70,43.3813845920977,70,79.7891827801374,70,0,0,1.0282051978093,0,70,0,0
0.075,33.7710666708031,75,43.3727911881554,75,79.801762951767,75,0,0,1.0282051978093,0,75,0,0
0.08,33.7823871540054,80,43.3594866661485,80,79.8108184791362,80,0,0,1.0282051978093,0,80,0,0
0.085,33.7847720114481,85,43.3480877522568,85,79.8092798668643,85,0,0,1.0282051978093,0,85,0,0
0.09,33.7771236627957,90,43.3393095280064,90,79.7975890833523,90,0,0,1.0282051978093,0,90,0,0
0.095,33.7624309731493,95,43.3330582064933,95,79.7889641843513,95,0,0,1.0282051978093,0,95,0,0
0.1,33.7507376611423,100,43.3327103952072,100,79.7830386413468,100,0,0,1.0282051978093,0,100,0,0
0.105,33.734568367465,105,43.3445526584773,105,79.7830418127059,105,0,0,1.0282051978093,0,105,0,0
0.11,33.7265746376158,110,43.36182955391,110,79.7742221867155,110,0,0,1.0282051978093,0,110,0,0
0.115,33.7329672662863,115,43.3921500114632,115,79.7628876710247,115,0,0,1.0282051978093,0,115,0,0
0.12,33.7504269957467,120,43.4330212453099,120,79.752213700185,120,0,0,1.0282051978093,0,120,0,0
0.125,33.7833864817618,125,43.4702582426063,125,79.7396853788332,125,0,0,1.0282051978093,0,125,0,0
0.13,33.8161304443071,130,43.5057960040605,130,79.728295419923,130,0,0,1.0282051978093,0,130,0,0
0.135,33.8303220582098,135,43.5293157635916,135,79.7229988627794,135,0,0,1.0282051978093,0,135,0,0
0.14,33.8417383794406,140,43.5267044076204,140,79.7231237817263,140,0,0,1.0282051978093,0,140,0,0
0.145,33.8463350556723,145,43.497722864977,145,79.7332460173446,145,0,0,1.0282051978093,0,145,0,0
0.15,33.8510180359964,150,43.4501961761373,150,79.7442915753567,150,0,0,1.0282051978093,0,150,0,0
0.155,33.8664455376345,155,43.4000037601822,155,79.7654573323619,155,0,0,1.0282051978093,0,155,0,0
0.16,33.8746723694973,160,43.3660047833277,160,79.7782509247371,160,0,0,1.0282051978093,0,160,0,0
0.165,33.8746253811263,165,43.3539901640637,165,79.7834470466789,165,0,0,1.0282051978093,0,165,0,0
0.17,33.8785609180553,170,43.3554563473686,170,79.7882927289989,170,0,0,1.0282051978093,0,170,0,0
0.175,33.8855450551804,175,43.3645468759275,175,79.7674453615438,175,0,0,1.0282051978093,0,175,0,0
0.18,33.8851582835123,180,43.367956140164,180,79.7385190799691,180,0,0,1.0282051978093,0,180,0,0
0.185,33.8911117029176,185,43.3664204581587,185,79.7219836300461,185,0,0,1.0282051978093,0,185,0,0
0.19,33.8913072435939,190,43.3648494279101,190,79.7134965060793,190,0,0,1.0282051978093,0,190,0,0
0.195,33.883213311421,195,43.3558829765541,195,79.7041663437312,195,0,0,1.0282051978093,0,195,0,0
0.2,33.8822578869614,200,43.3507731137238,200,79.6997338398795,200,0,0,1.0282051978093,0,200,0,0
0.205,33.8807882114448,205,43.3500688100857,205,79.6829037813493,205,0,0,1.0282051978093,0,205,0,0
0.21,33.8793211779697,210,43.3495116985048,210,79.6613264478385,210,0,0,1.0282051978093,0,210,0,0
0.215,33.8742718212003,215,43.3624505426433,215,79.6543683768381,215,0,0,1.0282051978093,0,215,0,0
0.22,33.8627117659529,220,43.3812288638729,220,79.6568523975422,220,0,0,1.0282051978093,0,220,0,0
0.225,33.8500847372077,225,43.3920257012191,225,79.6707390229582,225,0,0,1.0282051978093,0,225,0,0
0.23,33.8351462552526,230,43.3861777796242,230,79.6932062248073,230,0,0,1.0282051978093,0,230,0,0
0.235,33.8177082747939,235,43.3624625427645,235,79.7273880125758,235,0,0,1.0282051978093,0,235,0,0
0.24,33.8057033150534,240,43.3288496638203,240,79.7518684312231,240,0,0,1.0282051978093,0,240,0,0
0.245,33.8075012371553,245,43.3037445637887,245,79.7587148514687,245,0,0,1.0282051978093,0,245,0,0
0.25,33.8132012064408,250,43.2939381736862,250,79.7567129633743,250,0,0,1.0282051978093,0,250,0,0
0.255,33.8292638992284,255,43.296224689685,255,79.7434951271184,255,0,0,1.0282051978093,0,255,0,0
0.26,33.8512023276263,260,43.3130203399612,260,79.7254871987865,260,0,0,1.0282051978093,0,260,0,0
0.265,33.8551503437969,265,43.3316875764458,265,79.7177096730668,265,0,0,1.0282051978093,0,265,0,0
0.27,33.844826563352,270,43.3520779889881,270,79.7270975185676,270,0,0,1.0282051978093,0,270,0,0
0.275,33.8279126817955,275,43.3719507291759,275,79.7406855320123,275,0,0,1.0282051978093,0,275,0,0
0.28,33.8145454222339,280,43.3903980928147,280,79.755910842243,280,0,0,1.0282051978093,0,280,0,0
0.285,33.8086427326387,285,43.4034296551999,285,79.7599494336356,285,0,0,1.0282051978093,0,285,0,0
0.29,33.8164862152923,290,43.4120370656155,290,79.7488909333995,290,0,0,1.0282051978093,0,290,0,0
0.295,33.8272626625119,295,43.4059109201957,295,79.736711856244,295,0,0,1.0282051978093,0,295,0,0
0.3,33.8319312766336,300,43.3885228953899,300,79.7278465952181,300,0,0,1.0282051978093,0,300,0,0
0.305,33.8369889746808,305,43.363163147778,305,79.7313590452283,305,0,0,1.0282051978093,0,305,0,0
0.31,33.835709645829,310,43.3344342605279,310,79.745502251852,310,0,0,1.0282051978093,0,310,0,0
0.315,33.8375534035905,315,43.3201430820802,315,79.7640328907709,315,0,0,1.0282051978093,0,315,0,0
0.32,33.8347681149221,320,43.3144527409405,320,79.7892304725579,320,0,0,1.0282051978093,0,320,0,0
0.325,33.8303756835928,325,43.3134452265076,325,79.8058091825661,325,0,0,1.0282051978093,0,325,0,0
0.33,33.8202413139438,330,43.3280048827179,330,79.8102779314759,330,0,0,1.0282051978093,0,330,0,0
0.335,33.8034376062854,335,43.3395331761171,335,79.8010814199048,335,0,0,1.0282051978093,0,335,0,0
0.34,33.7977535179234,340,43.3441113745946,340,79.7949177923761,340,0,0,1.0282051978093,0,340,0,0
0.345,33.7902372754683,345,43.3525337935511,345,79.7948671929514,345,0,0,1.0282051978093,0,345,0,0
0.35,33.7907116658555,350,43.3498991107007,350,79.8070526840805,350,0,0,1.0282051978093,0,350,0,0
0.355,33.7908244397903,355,43.3466106292522,355,79.824639509252,355,0,0,1.0282051978093,0,355,0,0
0.36,33.7869474986862,360,43.3511724077989,360,79.8323313380655,360,0,0,1.0282051978093,0,360,0,0
0.365,33.7933536601561,365,43.3603912324066,365,79.8401757445794,365,0,0,1.0282051978093,0,365,0,0
0.37,33.7994832246857,370,43.3721311898738,370,79.8411436221567,370,0,0,1.0282051978093,0,370,0,0
0.375,33.7988147183244,375,43.379337464985,375,79.8370205094874,375,0,0,1.0282051978093,0,375,0,0
0.38,33.787626500668,380,43.3796058213886,380,79.8332016708898,380,0,0,1.0282051978093,0,380,0,0
0.385,33.7792635484986,385,43.3729590525388,385,79.8167693810059,385,0,0,1.0282051978093,0,385,0,0
0.39,33.7772654772976,390,43.3662059366754,390,79.8049639053468,390,0,0,1.0282051978093,0,390,0,0
0.395,33.7860124256609,395,43.3661793300124,395,79.8103870834858,395,0,0,1.0282051978093,0,395,0,0
0.4,33.8038524628727,400,43.3653116777198,400,79.8130323057926,400,0,0,1.0282051978093,0,400,0,0
0.405,33.8019488328608,405,43.3737399383138,405,79.8273829926926,405,0,0,1.0282051978093,0,405,0,0
0.41,33.7859137473963,410,43.3887654955224,410,79.8389376590854,410,0,0,1.0282051978093,0,410,0,0
0.415,33.7699612081545,415,43.3948236150687,415,79.8417356434472,415,0,0,1.0282051978093,0,415,0,0
0.42,33.758442496955,420,43.3997923301243,420,79.8402337166509,420,0,0,1.0282051978093,0,420,0,0
0.425,33.7678351021188,425,43.403504551036,425,79.8313505686227,425,0,0,1.0282051978093,0,425,0,0
0.43,33.7926110899169,430,43.3984576219243,430,79.8244109755838,430,0,0,1.0282051978093,0,430,0,0
0.435,33.8298358741411,435,43.3941473209269,435,79.8175061624505,435,0,0,1.0282051978093,0,435,0,0
0.44,33.861020572747,440,43.3984602279761,440,79.82313267276,440,0,0,1.0282051978093,0,440,0,0
0.445,33.8732332172426,445,43.4039974495378,445,79.8315024199355,445,0,0,1.0282051978093,0,445,0,0
0.45,33.8751692931455,450,43.4034912218529,450,79.8302438842972,450,0,0,1.0282051978093,0,450,0,0
0.455,33.8684569805901,455,43.4061168653437,455,79.8325595504684,455,0,0,1.0282051978093,0,455,0,0
0.46,33.8608839327076,460,43.4059015288708,460,79.8284651965019,460,0,0,1.0282051978093,0,460,0,0
0.465,33.8503011911093,465,43.3987476620442,465,79.8259950291244,465,0,0,1.0282051978093,0,465,0,0
0.47,33.8419496065252,470,43.3991814677431,470,79.8284396824665,470,0,0,1.0282051978093,0,470,0,0
0.475,33.828261303227,475,43.3990822299773,475,79.8193267152337,475,0,0,1.0282051978093,0,475,0,0
0.48,33.8143562677631,480,43.3911381816177,480,79.7989130505084,480,0,0,1.0282051978093,0,480,0,0
0.485,33.8082458781182,485,43.3885991074309,485,79.7709830177318,485,0,0,1.0282051978093,0,485,0,0
0.49,33.8008093927648,490,43.3831220504509,490,79.7364735168607,490,0,0,1.0282051978093,0,490,0,0
0.495,33.8015743315455,495,43.3905482252217,495,79.7006378763444,495,0,0,1.0282051978093,0,495,0,0
0.5,33.8001189829435,500,43.4025069594545,500,79.6679069623771,500,0,0,1.0282051978093,0,500,0,0
0.505,33.7940988481527,505,43.412691471148,505,79.6416568973667,505,0,0,1.0282051978093,0,505,0,0
0.51,33.794630224446,510,43.4185966034433,510,79.6299901645768,510,0,0,1.0282051978093,0,510,0,0
0.515,33.7884373537545,515,43.4178791864118,515,79.6246723917877,515,0,0,1.0282051978093,0,515,0,0
0.52,33.7802451721063,520,43.4086334159237,520,79.634423593027,520,0,0,1.0282051978093,0,520,0,0
0.525,33.7705439899632,525,43.4008817732756,525,79.6626437162095,525,0,0,1.0282051978093,0,525,0,0
0.53,33.752160592403,530,43.3911871663445,530,79.7041359807701,530,0,0,1.0282051978093,0,530,0,0
0.535,33.7309114969035,535,43.3878681894663,535,79.7469101295816,535,0,0,1.0282051978093,0,535,0,0
0.54,33.7136227229807,540,43.3993178231545,540,79.7683199187927,540,0,0,1.0282051978093,0,540,0,0
0.545,33.7141248451116,545,43.4078694681038,545,79.7826804373839,545,0,0,1.0282051978093,0,545,0,0
0.55,33.7319283997348,550,43.4138072629783,550,79.7802509409947,550,0,0,1.0282051978093,0,550,0,0
0.555,33.7488653827137,555,43.4005081261863,555,79.7727002588578,555,0,0,1.0282051978093,0,555,0,0
0.56,33.7742129628704,560,43.3655491371425,560,79.7736009310679,560,0,0,1.0282051978093,0,560,0,0
0.565,33.7935937445026,565,43.3322129828505,565,79.7666515081442,565,0,0,1.0282051978093,0,565,0,0
0.57,33.7939717945157,570,43.312423616072,570,79.7573242519789,570,0,0,1.0282051978093,0,570,0,0
0.575,33.7840015253279,575,43.3074195158331,575,79.7484045521479,575,0,0,1.0282051978093,0,575,0,0
0.58,33.7710230700137,580,43.3230633458866,580,79.7467763987279,580,0,0,1.0282051978093,0,580,0,0
0.585,33.7530253907305,585,43.3491856065707,585,79.7448065590941,585,0,0,1.0282051978093,0,585,0,0
0.59,33.7413428542871,590,43.3739448924269,590,79.7506187497738,590,0,0,1.0282051978093,0,590,0,0
0.595,33.7495208636585,595,43.396142823858,595,79.7627689140366,595,0,0,1.0282051978093,0,595,0,0
0.6,33.7632769347562,600,43.4042129811886,600,79.7891617289874,600,0,0,1.0282051978093,0,600,0,0
0.605,33.77162675546,605,43.3952590466865,605,79.8196224719044,605,0,0,1.0282051978093,0,605,0,0
0.61,33.7686625740562,610,43.3820995103216,610,79.8509336443398,610,0,0,1.0282051978093,0,610,0,0
0.615,33.7554512710539,615,43.3653270804507,615,79.8662927414122,615,0,0,1.0282051978093,0,615,0,0
0.62,33.7359699612433,620,43.3533925693074,620,79.8588721539638,620,0,0,1.0282051978093,0,620,0,0
0.625,33.7282025646111,625,43.3549874115239,625,79.840654879761,625,0,0,1.0282051978093,0,625,0,0
0.63,33.7401596926437,630,43.3603953473491,630,79.8128943060454,630,0,0,1.0282051978093,0,630,0,0
0.635,33.7532321573019,635,43.3818912363268,635,79.7947902306715,635,0,0,1.0282051978093,0,635,0,0
0.64,33.7609426948368,640,43.4090337989155,640,79.7875857714769,640,0,0,1.0282051978093,0,640,0,0
0.645,33.7612711912971,645,43.4248973867735,645,79.7805958125174,645,0,0,1.0282051978093,0,645,0,0
0.65,33.7487603802219,650,43.4409332147272,650,79.7805108885461,650,0,0,1.0282051978093,0,650,0,0
0.655,33.7363517970643,655,43.4392905818379,655,79.7853916495088,655,0,0,1.0282051978093,0,655,0,0
0.66,33.7373637520173,660,43.433918242015,660,79.7917008344268,660,0,0,1.0282051978093,0,660,0,0
0.665,33.7403255306033,665,43.4277394901692,665,79.8090926669542,665,0,0,1.0282051978093,0,665,0,0
0.67,33.7551226963806,670,43.4183572780522,670,79.817219956926,670,0,0,1.0282051978093,0,670,0,0
0.675,33.770924013635,675,43.4280898738602,675,79.8085533431076,675,0,0,1.0282051978093,0,675,0,0
0.68,33.778981932156,680,43.4332973434648,680,79.7900189388493,680,0,0,1.0282051978093,0,680,0,0
0.685,33.7766466952978,685,43.4433205347359,685,79.7624005372527,685,0,0,1.0282051978093,0,685,0,0
