time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,14.3596619624125,0.185148161222438,141.042248183107,0,0.70003850128494,0.699992938847032,0,0,0,0,0,0,0,4.55624379079866e-05,56.0796738151416,52.2000824970334,92.3436982784887,44.8445382663668,0.750116639124432,0.749824953684222,0,-0.00311809471428148,-3.30607691355956e-06,-1.83670939642198e-06,0,0,0.00029168544021041,0,0,0,1.65714937972239,-0.022678074425317,0.0221968675448605,-0.0202695750591625,-0.0217821782178218,-0.0205543444409841
0.01,14.3862171259875,0.184167884329735,141.030534609601,0,0.70003850128494,0.699986081010815,0,0,0,0,0,0,0,5.2420274125331e-05,56.1098756639909,52.2076458692541,92.3426267047232,44.8218606587022,0.750116639124432,0.749926063937689,0,0,0,0,0,0,0.000190575186742814,0,0,0,1.65714937972239,-0.0228842387382744,0.0224043149050928,-0.0205782487910279,-0.0221990620114643,-0.0205543444409841
0.02,14.3912923576528,0.187382984270877,141.025617273285,0,0.70003850128494,0.699974827310557,0,0,0,0,0,0,0,6.36739743836712e-05,56.1320047592044,52.2343919817959,92.3145563993129,44.825782385074,0.750116639124432,0.750012720677885,0,0.00231739675288622,2.45710685733307e-06,1.36505936518504e-06,0,0,0.000103918446547002,0,0,0,1.65714937972239,-0.022678074425317,0.0223005912249767,-0.0201666838152073,-0.0217821782178218,-0.0203467248001661
0.03,14.370848931798,0.191946796256414,141.028278537368,0,0.70003850128494,0.699974269822285,0,0,0,0,0,0,0,6.42314626548846e-05,56.1471169397863,52.2501735534054,92.2961157084245,44.8408259118349,0.750116639124432,0.750048212419521,0,0.00367328419781643,3.89473739451255e-06,2.16374299695142e-06,0,0,6.84267049113618e-05,0,0,0,1.65714937972239,-0.0224719101123595,0.0223005912249767,-0.0201666838152073,-0.0216779572694112,-0.0205543444409841
0.04,14.3461530240103,0.196392910441547,141.049117811876,0,0.70003850128494,0.699983957026691,0,0,0,0,0,0,0,5.4544258249245e-05,56.1643988932341,52.2395908346376,92.311490810333,44.8469888759511,0.750116639124432,0.750036836533268,0,0.00352017116509273,3.73239355667646e-06,2.07355197593137e-06,0,0,7.98025911635802e-05,0,0,0,1.65714937972239,-0.0231934852077105,0.0229229333056737,-0.0207840312789382,-0.0221990620114643,-0.0209695837226202
0.05,14.3463130930646,0.196280225826097,141.070909450227,0,0.70003850128494,0.699985772832711,0,0,0,0,0,0,0,5.2728452229478e-05,56.1685015764993,52.2209364637309,92.3393826889571,44.836834073866,0.750116639124432,0.749981556227501,0,0.00203967268636518,2.16263949543425e-06,1.20146638635236e-06,0,0,0.000135082896931094,0,0,0,1.65714937972239,-0.023399649520668,0.0229229333056737,-0.0208869225228933,-0.0223032829598749,-0.0210733935430292
0.06,14.36885103612,0.194174038361695,141.068749090661,0,0.70003850128494,0.699978393606587,0,0,0,0,0,0,0,6.0107678353627e-05,56.164243308989,52.2187909501756,92.3531904370791,44.8153476318392,0.750116639124432,0.749915540114382,0,0,0,0,0,0,0.000201099010050165,0,0,0,1.65714937972239,-0.0235027316771467,0.023130380665906,-0.0209898137668484,-0.0228243877019281,-0.0214886328246652
0.07,14.3882099702075,0.19532990095824,141.052547163758,0,0.70003850128494,0.699973549386444,0,0,0,0,0,0,0,6.49518984964237e-05,56.1569615992489,52.2261695955341,92.352909951816,44.8169993228015,0.750116639124432,0.749861348247114,0,-0.00169831468635095,-1.80070186796679e-06,-1.00038992664821e-06,0,0,0.000255290877318126,0,0,0,1.65714937972239,-0.0227811565817957,0.0224043149050928,-0.0201666838152073,-0.0217821782178218,-0.0206581542613931
0.08,14.3878931195495,0.199650598038183,141.036493490634,0,0.70003850128494,0.699976018978465,0,0,0,0,0,0,0,6.2482306475542e-05,56.1552020758889,52.2194409520752,92.3483645768656,44.8400381370816,0.750116639124432,0.749820835126033,0,-0.00283134804810459,-3.0020430018424e-06,-1.66780166769022e-06,0,0,0.00029580399839868,0,0,0,1.65714937972239,-0.0223688279558808,0.021885696504512,-0.0197551188393868,-0.0212610734757686,-0.0202429149797571
0.09,14.3751332598211,0.202786449119547,141.019199557397,0,0.70003850128494,0.699981329387658,0,0,0,0,0,0,0,5.71718972819379e-05,56.163778568811,52.1999145008333,92.346460136676,44.8631952391215,0.750116639124432,0.749805185484333,0,-0.00313342554740359,-3.32233200459912e-06,-1.84574000255507e-06,0,0,0.000311453640099102,0,0,0,1.65714937972239,-0.022678074425317,0.0224043149050928,-0.0202695750591625,-0.0217821782178218,-0.0206581542613931
0.1,14.3645956341094,0.201097341041981,141.01168423817,0,0.70003850128494,0.699981624712512,0,0,0,0,0,0,0,5.68765724281439e-05,56.1546062886824,52.1701664009964,92.3536432878235,44.8846946355276,0.750116639124432,0.749834204806031,0,-0.00232421396665927,-2.4643350640218e-06,-1.36907503556767e-06,0,0,0.000282434318400804,0,0,0,1.65714937972239,-0.0231934852077105,0.0230266569857899,-0.0208869225228933,-0.0223032829598749,-0.0209695837226202
0.11,14.3624027468585,0.195637196920877,141.005843725326,0,0.70003850128494,0.699985100567965,0,0,0,0,0,0,0,5.34007169750161e-05,56.1485679693955,52.1538984954668,92.3694325588088,44.9059180064861,0.750116639124432,0.749915906120017,0,0,0,0,0,0,0.000200733004415365,0,0,0,1.65714937972239,-0.0235027316771467,0.023130380665906,-0.0209898137668484,-0.0226159458051068,-0.0214886328246652
0.12,14.3661398413989,0.191272409202975,140.986403779407,0,0.70003850128494,0.699983997683637,0,0,0,0,0,0,0,5.45036013029909e-05,56.1505739892261,52.1537428624163,92.3827401854528,44.9179865332578,0.750116639124432,0.75000808957582,0,0.00204278489843546,2.16593933505379e-06,1.20329963058544e-06,0,0,0.00010854954861228,0,0,0,1.65714937972239,-0.0228842387382744,0.022508038585209,-0.0203724663031176,-0.0221990620114643,-0.0209695837226202
0.13,14.3642841925525,0.191885011434978,140.975437934401,0,0.70003850128494,0.699986486164092,0,0,0,0,0,0,0,5.20151208479591e-05,56.1481903295814,52.1664382779733,92.4043126797797,44.9317569843727,0.750116639124432,0.750071747952275,0,0.00376392975626061,3.99084774892752e-06,2.21713763829307e-06,0,0,4.48911721567802e-05,0,0,0,1.65714937972239,-0.0223688279558808,0.0219894201846282,-0.0200637925712522,-0.0216779572694112,-0.0203467248001661
