Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Dual2SineTest_230425.csv,
Starttime of export,133898803249400000,onsdag 23. april 2025,13:12:04.940
Endtime of export,133898803786000000,onsdag 23. april 2025,13:12:58.600


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,49.573652066381165,0.20395286742763791,141.00028553518146,0.0041743679001737047,0.45020854713441777,0.45020854713441777,0,0,0,0,0,0,0,-1.0750679259985407E-05,57.887593155978422,23.394700659142543,81.235579763250158,23.4701133861693,0.37989277928869142,0.37989277928869142,0,0,0,0,0,0,-3.0898166563098073E-06,0,0,0,1.3608058958524596,0,0,0,0,0
10,49.595745272713295,0.20567572800044484,141.00375579166072,0.0032728172218451394,0.45021204220861605,0.45021204220861605,0,0,0,0,0,0,0,-3.4950741982786582E-06,57.8922135256229,23.40122870685228,81.2352091732583,23.485615443693355,0.37989513239704542,0.37989513239704542,0,0,0,0,0,0,-2.3531083540029307E-06,0,0,0,1.3608058958524596,0,0,0,0,0
20,49.615481598609058,0.20672467686654505,141.00209333505418,0.0023640229621714258,0.45021722974697015,0.45021722974697015,0,0,0,0,0,0,0,-5.1875383541011288E-06,57.889704521704815,23.411790588991796,81.224398591508958,23.502208793550153,0.3799030443901863,0.3799030443901863,0,0,0,0,0,0,-7.91199314087443E-06,0,0,0,1.3608058958524596,0,0,0,0,0
30,49.608220729220164,0.20731252951111495,141.00605136212994,0.0015939491222208462,0.450206036723085,0.450206036723085,0,0,0,0,0,0,0,1.1193023885136544E-05,57.897786244347117,23.405326053915548,81.218295761475616,23.501442057761583,0.37990592180393379,0.37990592180393379,0,0,0,0,0,0,-2.8774137474929518E-06,0,0,0,1.3608058958524596,0,0,0,0,0
40,49.58827769037395,0.20951146212314503,141.01949592521754,0.0010053248883632674,0.45018392631535648,0.45018392631535648,0,0,0,0,0,0,0,2.2110407728537229E-05,57.911184292094653,23.390453571891388,81.2209416172663,23.504574443496686,0.379893626218524,0.379893626218524,0,0,0,0,0,0,1.2295585409771714E-05,0,0,0,1.3608058958524596,0,0,0,0,0
50,49.586823408799418,0.21017144635294163,141.03693225043446,0.00058866521530224905,0.45016589150214609,0.45016589150214609,0,0,0,0,0,0,0,1.8034813210388023E-05,57.915303955051172,23.389444728688265,81.238471490562759,23.508937765716212,0.37989531118978592,0.37989531118978592,0,0,0,0,0,0,-1.684971261906032E-06,0,0,0,1.3608058958524596,0,0,0,0,0
60,49.603283927929617,0.21004946631421062,141.06675072396578,0.00031293208648161921,0.45015247091288341,0.45015247091288341,0,0,0,0,0,0,0,1.3420589262680416E-05,57.928031192799949,23.415678506505266,81.257923673475858,23.518881609737893,0.37991540319448747,0.37991540319448747,0,0,0,0,0,0,-2.0092004701544042E-05,0,0,0,1.3608058958524596,0,0,0,0,0
70,49.615545608684727,0.20960157345423472,141.07259337579487,0.00014242630957777132,0.45014318161216077,0.45014318161216077,0,-0.0011007542028451667,-1.3279185857535224E-06,-8.0920038819355269E-07,0,0,0,9.2893007226368951E-06,57.934943011922847,23.442208496357551,81.263748518917353,23.541172203318254,0.37992797518869409,0.37992797518869409,0,0,0,0,0,0,-1.2571994206622694E-05,0,0,0,1.3608058958524596,0,0,0,0,0
80,49.610696195538,0.20526726895521225,141.05360276641315,4.4967160011694424E-05,0.45013716541895565,0.45013716541895565,0,-0.0010873411662402077,-1.3117374796055019E-06,-7.9934002663460275E-07,0,0,0,6.0161932051161493E-06,57.926772303283855,23.462819987874582,81.264558398452834,23.55589721519063,0.37993526653121146,0.37993526653121146,0,0,0,0,0,0,-7.2913425173681823E-06,0,0,0,1.3608058958524596,0,0,0,0,0
90,49.612399579639387,0.19989532466723403,141.03234145516703,-5.0486339560795569E-06,0.45013353262606115,0.45013353262606115,0,0,0,0,0,0,0,3.6327928945034671E-06,57.917036489470568,23.489039629718775,81.255404315302442,23.576422995364574,0.37993908972639107,0.37993908972639107,0,0,0,0,0,0,-3.8231951796086072E-06,0,0,0,1.3608058958524596,0,0,0,0,0
100,49.624352868449925,0.19871708189241563,141.00958598596119,-2.632455457560854E-05,0.45014783566333322,0.45014783566333322,0,0,0,0,0,0,0,-1.4303037272067609E-05,57.898599117868464,23.515545159767267,81.2223149676021,23.592489913412681,0.37993453459618964,0.37993453459618964,0,0,0,0,0,0,4.5551302014223971E-06,0,0,0,1.3608058958524596,0,0,0,0,0
110,49.621804659650167,0.19576029119070898,140.99734998953065,-3.1599557254021695E-05,0.45017325653105011,0.45017325653105011,0,0,0,0,0,0,0,-2.5420867716896556E-05,57.863951919270704,23.534225167512872,81.181927546515226,23.592643098205542,0.37992074337757531,0.37992074337757531,0,0,0,0,0,0,1.3791218614334078E-05,0,0,0,1.3608058958524596,0,0,0,0,0
120,49.609444507420761,0.19248062761331081,140.98404022209439,-2.8992069942859653E-05,0.45019417327432693,0.45019417327432693,0,0,0,0,0,0,0,-2.0916743276810923E-05,57.837095706410487,23.5370044838509,81.157971465493731,23.599096094127042,0.37991128264247481,0.37991128264247481,0,0,0,0,0,0,9.460735100497164E-06,0,0,0,1.3608058958524596,0,0,0,0,0
130,49.608030014684026,0.19338325537420115,140.97614777515545,-2.3314428570398781E-05,0.45020983671132159,0.45020983671132159,0,0.0011267695891419294,1.3593028083980831E-06,8.28325148867582E-07,0,0,0,-1.5663436994661772E-05,57.82930802202327,23.551398139799797,81.1564426975187,23.616851987970954,0.37990520966004376,0.37990520966004376,0,0,0,0,0,0,6.0729824310490343E-06,0,0,0,1.3608058958524596,0,0,0,0,0
140,49.605946181858435,0.1959899346250468,140.96615876635306,-1.7169010230809741E-05,0.45022073669102514,0.45022073669102514,0,0.0012957654765770599,1.5631746439640712E-06,9.525595486656058E-07,0,0,0,-1.0899979703549167E-05,57.817804445942059,23.589636915234323,81.153608661482451,23.631102518472495,0.37988907684328466,0.37988907684328466,0,0,0,0,0,0,1.6132816759106827E-05,0,0,0,1.3608058958524596,0,0,0,0,0
150,49.584829587420664,0.19512871725277042,140.9548984448715,-1.1776892578055189E-05,0.4502223941263771,0.4502223941263771,0,0.0011938549973748991,1.4402327382545067E-06,8.7764182487384E-07,0,0,0,-1.6574353519649421E-06,57.817895732219959,23.615266977721525,81.152547658538325,23.649206485395666,0.37987727677750022,0.37987727677750022,0,0,0,0,0,0,1.1800065784439706E-05,0,0,0,1.3608058958524596,0,0,0,0,0
160,49.564333153486082,0.19287213475115997,140.94292939296463,0.0018987301318209747,0.45021971542032774,0.45021971542032774,0,0,0,0,0,0,0,2.6787060493638215E-06,57.813556353564763,23.621800949781452,81.1638722435301,23.66999587455793,0.37988173344901888,0.37988173344901888,0,0,0,0,0,0,-4.456671518660027E-06,0,0,0,1.3608058958524596,0,0,0,0,0
170,49.560655017449164,0.1941649543074182,140.93632933398081,0.0024450414391537847,0.450215542141957,0.450215542141957,0,0,0,0,0,0,0,4.173278370711575E-06,57.796502296407787,23.616984118459186,81.1807985506235,23.688723490371739,0.37990516845936506,0.37990516845936506,0,0,0,0,0,0,-2.3435010346184448E-05,0,0,0,1.3608058958524596,0,0,0,0,0
