Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Jib1Test_090525.csv,
Starttime of export,133912745953610000,fredag 9. mai 2025,16:29:55.361
Endtime of export,133912746444510000,fredag 9. mai 2025,16:30:44.451


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch

0,33.791377868684215,0,0.20663640477099463,152.09712414193871,-4.0992793987966212E-05,0.50046252269779046,0.50046252269779046,0,0,0,0,0,0,0,-4.2723247983822432E-06,0,0,0,0,43.26030607944309,0,47.276767257356163,0,79.712300318547491,0,47.487844647685556,0.0705137614148101,0.0705137614148101,0,0,0,0,0,0,1.3404645027387252E-05,0,0.020313760795922731,0,0,0,0,0,1.0282051978093032,0,0,0,0,0,0,0
5,33.815338573738195,10,0.20856699882931243,152.09710892595217,-3.3203451586353361E-05,0.50046013466053363,0.50046013466053363,0,0,0,0,0,0,0,2.3880372568285679E-06,0,0,0,5,43.26728975954051,10,47.252375679902855,5,79.691141157035787,10,47.481473528518023,0.070494427598666726,0.070494427598666726,0,0,0,0,0,0,1.9333816143371485E-05,0,0.020313760795922731,0,0,5,0,0,1.0282051978093032,0,10,0,0,5,0,0
10,33.829591717478571,20,0.20849949238221052,152.12699267609815,-1.7552554333438771E-05,0.5004598664694746,0.5004598664694746,0,0,0,0,0,0,0,2.681910590274228E-07,0,0,0,10,43.290675982555179,20,47.260369773816336,10,79.683524321011134,20,47.466070126111568,0.070503280758680634,0.070503280758680634,0,0,0,0,0,0,-8.8531600139080124E-06,0,0.020313760795922731,0,0,10,0,0,1.0282051978093032,0,20,0,0,10,0,0
15,33.837336652781175,30,0.20807187270265365,152.14086941047944,-7.03444438112268E-06,0.50045468595762033,0.50045468595762033,0,0,0,0,0,0,0,5.1805118542747053E-06,0,0,0,15,43.321458757064427,30,47.2735617791375,15,79.686883650341414,30,47.431258715691243,0.07048590559642412,0.07048590559642412,0,0,0,0,0,0,1.737516225651381E-05,0,0.020313760795922731,0,0,15,0,0,1.0282051978093032,0,30,0,0,15,0,0
20,33.839094786420638,40,0.20775621276958792,152.15607475531169,-1.992883199542172E-06,0.50047865074021536,0.50047865074021536,0,0,0,0,0,0,0,-2.3964782595031764E-05,0,0,0,20,43.354510084756591,40,47.279945424275844,20,79.702185649228113,40,47.385511893990248,0.0704933726905698,0.0704933726905698,0,0,0,0,0,0,-7.46709414567448E-06,0,0.020313760795922731,0,0,20,0,0,1.0282051978093032,0,40,0,0,20,0,0
25,33.845562471230387,50,0.20950300991285198,152.17723562536094,-1.6335407042113381E-07,0.50049130552215448,0.50049130552215448,0,0.0010081789834046617,1.2162384721028011E-06,7.4114531893764445E-07,0,0,0,-1.2654781939125392E-05,0,0,0,25,43.381494644094353,50,47.26699379240231,25,79.718460292908617,50,47.347944262106346,0.070507890673029511,0.070507890673029511,0,0,0,0,0,0,-1.4517982459716361E-05,0,0.020313760795922731,0,0,25,0,0,1.0282051978093032,0,50,0,0,25,0,0
30,33.849285197342716,60,0.21610435765198321,152.180174729871,2.6223281117981018E-07,0.50047306579621409,0.50047306579621409,0,0,0,0,0,0,0,1.8239725940394358E-05,0,0,0,30,43.393963844049004,60,47.257923611053336,30,79.72690372486224,60,47.366297267119954,0.07051760039603594,0.07051760039603594,0,0,0,0,0,0,-9.7097230064291384E-06,0,0.020313760795922731,0,0,30,0,0,1.0282051978093032,0,60,0,0,30,0,0
35,33.8397779230855,70,0.22222442214085561,152.19289813104211,2.3342160890501393E-07,0.50044938025023578,0.50044938025023578,0,0,0,0,0,0,0,2.3685545978313627E-05,0,0,0,35,43.398082468726841,70,47.280743787827092,35,79.736292797321738,70,47.393148197124873,0.070522240864427238,0.070522240864427238,0,0,0,0,0,0,-4.6404683912981692E-06,0,0.020313760795922731,0,0,35,0,0,1.0282051978093032,0,70,0,0,35,0,0
40,33.814481182218664,80,0.22235494421061258,152.20769818283793,1.2844495783007576E-07,0.5004292790050171,0.5004292790050171,0,-0.0015581981653411958,-1.87976598108403E-06,-1.1454823947230809E-06,0,0,0,2.0101245218673292E-05,0,0,0,40,43.39978039504534,80,47.322002457305864,40,79.7370076960769,80,47.351427594896478,0.070537891780081782,0.070537891780081782,0,0,0,0,0,0,-1.565091565454424E-05,0,0.020313760795922731,0,0,40,0,0,1.0282051978093032,0,80,0,0,40,0,0
