Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\JibValveSpeedTest_010425.csv,
Starttime of export,133879785396100000,tirsdag 1. april 2025,12:55:39.610
Endtime of export,133879785671000000,tirsdag 1. april 2025,12:56:07.100


Name,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,0.0026782697505893884,22.506940568094695,0.20391377271341557,143.035244287963,0.72992196431869028,0.72992196431869028,0,0,0,0,0,0,0,1.7222415216178177E-07,60.965210958512081,31.128886667406693,73.782364996456792,40.151094982764043,0.25021363368540406,0.25021363368540406,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023296567364189259,0.023026656985789856,-0.020372466303117606,-0.022511724856696197,-0.020969583722620162
10,0.0026783198803175656,22.506156139448823,0.20412730005663066,143.03538849347046,0.72992241274555869,0.72992241274555869,0,0,0,0,0,0,0,1.7222415216178177E-07,60.963294292878949,31.135055170511677,73.782056150583287,40.158786014177039,0.25021388154575219,0.25021388154575219,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023399649520667972,0.023441551706254539,-0.020681140034983024,-0.022928608650338717,-0.021592442645074223
20,0.0026677919725641396,22.505506567899278,0.20438346375290145,143.03541861087834,0.72992268308569586,0.72992268308569586,0,0,0,0,0,0,0,1.7222415216178177E-07,60.961694412259227,31.140699367854637,73.781676358146115,40.166434249717227,0.25022620333490464,0.25022620333490464,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.022884238738274405,0.022922933305673684,-0.020166683815207326,-0.022511724856696197,-0.02107339354302917
30,0.0026476675294879138,22.504886048968959,0.20467746394197958,143.03515188729537,0.72992265259193034,0.72992265259193034,0,0,0,0,0,0,0,1.7222415216178177E-07,60.960100326562994,31.146084530112443,73.781378001346667,40.174013298102011,0.250247581066112,0.250247581066112,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023296567364189259,0.023026656985789856,-0.020269575059162465,-0.022615945805106827,-0.021281013183847192
40,0.0026188787248666917,22.504679994008452,0.20495658499700412,143.03529045287814,0.72992234811604306,0.72992234811604306,0,0,0,0,0,0,0,1.7222415216178177E-07,60.958180463775712,31.151646150854081,73.781010443174864,40.181547579154788,0.25027396485161535,0.25027396485161535,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.02309040305123183,0.022715485945441344,-0.019960901327297047,-0.022303282959874934,-0.020969583722620162
50,0.0025823091072271565,22.505141545582955,0.20512466132029378,143.03579774754525,0.72992193270974781,0.72992193270974781,0,0,0,0,0,0,0,1.7222415216178177E-07,60.956356894189206,31.157587558485542,73.780340319271787,40.18925229113885,0.25030006450306519,0.25030006450306519,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023193485207710546,0.022819209625557516,-0.020269575059162465,-0.022511724856696197,-0.021384823004256204
60,0.0025387944324610696,22.505775823519979,0.20528728234494095,143.03606068939283,0.72992141787001918,0.72992141787001918,0,0,0,0,0,0,0,1.7222415216178177E-07,60.95496561086857,31.163755164498863,73.779348967564587,40.197081872976938,0.25032011278696431,0.25032011278696431,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.022678074425316979,0.022404314905092832,-0.020166683815207326,-0.022199062011464304,-0.02086577390221115
70,0.0025373165096051445,22.506034853847243,0.20544429081393864,143.03624453168297,0.72992067696050378,0.72992067696050378,0,0,0,0,0,0,0,1.7222415216178177E-07,60.953588151246926,31.169574398819663,73.778502581389773,40.205138897771434,0.25032872078242074,0.25032872078242074,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.022781156581795692,0.022819209625557516,-0.020269575059162465,-0.022407503908285567,-0.020969583722620162
80,0.0025741458859082056,22.506143729171946,0.20559556560125089,143.03659654172921,0.72991987049850837,0.72991987049850837,0,0,0,0,0,0,0,1.7222415216178177E-07,60.951939567584546,31.174956857727711,73.777888006645171,40.213467733411719,0.25032228790070465,0.25032228790070465,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.022884238738274405,0.022819209625557516,-0.020269575059162465,-0.022615945805106827,-0.021281013183847192
90,0.0025975403694334267,22.506259940788926,0.20564463318254522,143.0366184578738,0.72991900749265726,0.72991900749265726,0,0,0,0,0,0,0,1.7222415216178177E-07,60.950387809965648,31.180305646155304,73.776956949470488,40.221914960700317,0.25030201799484392,0.25030201799484392,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.022368827955880837,0.022196867544860492,-0.019755118839386767,-0.022094841063053674,-0.020658154261393127
100,0.0026086013955797563,22.506526956722759,0.2056003817398106,143.03633952496654,0.72991809637431559,0.72991809637431559,0,0,0,0,0,0,0,1.7222415216178177E-07,60.949123172342105,31.185409868218297,73.77545205002906,40.230388518417421,0.25027332965545412,0.25027332965545412,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023193485207710546,0.022922933305673684,-0.020269575059162465,-0.022511724856696197,-0.021281013183847192
110,0.0026083812193134041,22.507267673007558,0.20556766387767436,143.03622131301904,0.72991728251987886,0.72991728251987886,0,0,0,0,0,0,0,1.7222415216178177E-07,60.9475950126094,31.190463876444131,73.773382046807612,40.2391417720286,0.25024245754533836,0.25024245754533836,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.02309040305123183,0.022715485945441344,-0.020269575059162465,-0.022407503908285567,-0.02107339354302917
120,0.0025978831310898534,22.508292494813091,0.20554558391410985,143.03591265713587,0.7299165604996728,0.7299165604996728,0,0,0,0,0,0,0,1.7222415216178177E-07,60.945832779657984,31.195693144784428,73.77119086883792,40.24830808354529,0.25021509095094113,0.25021509095094113,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023399649520667972,0.023130380665906027,-0.020681140034983024,-0.022824387701928087,-0.021384823004256204
130,0.0025780618468936884,22.509282973962797,0.2053887050631473,143.03552808404081,0.7299157874996629,0.7299157874996629,0,0,0,0,0,0,0,1.7222415216178177E-07,60.944394351586077,31.200820491219464,73.768946126746769,40.2577663695632,0.25019671586301712,0.25019671586301712,0,0,0,0,0,0,3.4334456426310389E-06,0,0,0,2.3712337621823956,-0.023193485207710546,0.022922933305673684,-0.020269575059162465,-0.022511724856696197,-0.021281013183847192
