Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Scope Project.csv,
Starttime of export,133898811315100000,onsdag 23. april 2025,13:25:31.510
Endtime of export,133898811908000000,onsdag 23. april 2025,13:26:30.800


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,14.359661962412471,0.18514816122243835,141.04224818310655,0,0.70003850128494038,0.6999929388470324,0,0,0,0,0,0,0,4.5562437907986642E-05,56.079673815141611,52.200082497033378,92.343698278488674,44.844538266366804,0.75011663912443194,0.74982495368422153,0,-0.003118094714281483,-3.3060769135595567E-06,-1.8367093964219758E-06,0,0,0.00029168544021040965,0,0,0,1.6571493797223893,-0.022678074425316979,0.022196867544860492,-0.020269575059162465,-0.021782178217821781,-0.020554344440984116
10,14.386217125987539,0.18416788432973547,141.03053460960137,0,0.70003850128494038,0.699986081010815,0,0,0,0,0,0,0,5.2420274125331012E-05,56.109875663990877,52.207645869254144,92.34262670472323,44.821860658702185,0.75011663912443194,0.74992606393768912,0,0,0,0,0,0,0.00019057518674281404,0,0,0,1.65714937972239,-0.022884238738274405,0.022404314905092832,-0.020578248791027882,-0.022199062011464304,-0.020554344440984116
20,14.391292357652764,0.18738298427087735,141.025617273285,0,0.70003850128494038,0.69997482731055671,0,0,0,0,0,0,0,6.3673974383671172E-05,56.132004759204392,52.2343919817959,92.31455639931292,44.825782385074,0.75011663912443194,0.75001272067788494,0,0.0023173967528862249,2.4571068573330694E-06,1.3650593651850385E-06,0,0,0.00010391844654700222,0,0,0,1.6571493797223908,-0.022678074425316979,0.022300591224976664,-0.020166683815207326,-0.021782178217821781,-0.020346724800166097
30,14.370848931798024,0.19194679625641434,141.02827853736798,0,0.70003850128494038,0.6999742698222855,0,0,0,0,0,0,0,6.4231462654884552E-05,56.147116939786258,52.250173553405396,92.2961157084245,44.840825911834912,0.75011663912443194,0.75004821241952058,0,0.0036732841978164288,3.894737394512555E-06,2.1637429969514194E-06,0,0,6.8426704911361824E-05,0,0,0,1.6571493797223917,-0.02247191011235955,0.022300591224976664,-0.020166683815207326,-0.021677957269411151,-0.020554344440984116
40,14.346153024010308,0.19639291044154711,141.0491178118759,0,0.70003850128494038,0.69998395702669114,0,0,0,0,0,0,0,5.4544258249245026E-05,56.164398893234129,52.2395908346376,92.311490810333027,44.846988875951119,0.75011663912443194,0.75003683653326836,0,0.0035201711650927336,3.7323935566764595E-06,2.0735519759313668E-06,0,0,7.9802591163580239E-05,0,0,0,1.6571493797223924,-0.023193485207710546,0.022922933305673684,-0.020784031278938162,-0.022199062011464304,-0.020969583722620162
50,14.346313093064589,0.19628022582609705,141.07090945022733,0,0.70003850128494038,0.69998577283271091,0,0,0,0,0,0,0,5.2728452229477973E-05,56.16850157649926,52.220936463730851,92.339382688957116,44.83683407386598,0.75011663912443194,0.74998155622750085,0,0.0020396726863651793,2.1626394954342544E-06,1.2014663863523637E-06,0,0,0.00013508289693109354,0,0,0,1.6571493797223928,-0.023399649520667972,0.022922933305673684,-0.0208869225228933,-0.022303282959874934,-0.02107339354302917
60,14.368851036120024,0.19417403836169503,141.06874909066082,0,0.70003850128494038,0.69997839360658676,0,0,0,0,0,0,0,6.0107678353626959E-05,56.164243308988972,52.218790950175588,92.3531904370791,44.815347631839238,0.75011663912443194,0.74991554011438177,0,0,0,0,0,0,0.00020109901005016528,0,0,0,1.6571493797223933,-0.023502731677146685,0.023130380665906027,-0.020989813766848442,-0.022824387701928087,-0.021488632824665212
70,14.388209970207493,0.1953299009582396,141.05254716375845,0,0.70003850128494038,0.699973549386444,0,0,0,0,0,0,0,6.4951898496423688E-05,56.156961599248945,52.226169595534138,92.352909951815988,44.816999322801536,0.75011663912443194,0.74986134824711381,0,-0.0016983146863509546,-1.8007018679667868E-06,-1.0003899266482149E-06,0,0,0.00025529087731812616,0,0,0,1.6571493797223935,-0.022781156581795692,0.022404314905092832,-0.020166683815207326,-0.021782178217821781,-0.020658154261393127
80,14.387893119549492,0.19965059803818339,141.03649349063409,0,0.70003850128494038,0.69997601897846484,0,0,0,0,0,0,0,6.2482306475541982E-05,56.1552020758889,52.219440952075225,92.348364576865563,44.840038137081642,0.75011663912443194,0.74982083512603326,0,-0.0028313480481045872,-3.0020430018423957E-06,-1.6678016676902196E-06,0,0,0.00029580399839868043,0,0,0,1.6571493797223937,-0.022368827955880837,0.02188569650451198,-0.019755118839386767,-0.021261073475768631,-0.020242914979757085
