Name,MainPaCyl,time,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name_2,JibPaCyl,Name_3,JibPaDCV,Name_4,JibPbCyl,Name_5,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_7,JoystickJib,JoystickMain,Name_8,JoystickRotation,JoystickWinch
0,22.5370633867827,0,0.221012877718573,152.006709776675,-3.51028335189645e-07,0.729800180532311,0.729800180532311,0,0,0,0,0,0,0,4.91516329925723e-06,0.00688561662648397,0,0,0,60.4149795458903,0,54.2446328858364,0,73.7913482190294,0,41.5284407685918,0.250010721250761,0.250010721250761,0,0,0,0,0,0,-1.15260311367438e-06,0,0.0010870998260445,0,0,0,0,0,1.33380267077682,0,0,0,0,0,0,0
5,22.5413475687891,0.01,0.216287098702942,152.018348930854,5.04787356642827e-08,0.729786430720789,0.729786430720789,0,0,0,0,0,0,0,1.37498115214685e-05,0.00688561662648397,0,0,5,60.4046111030939,10,54.2302100944767,5,73.8107159420892,10,41.5710890107574,0.249992759451414,0.249992759451414,0,0,0,0,0,0,1.79617993470993e-05,0,0.0010870998260445,0,0,5,0,0,1.33380267076205,0,10,0,0,5,0,0
10,22.5460381669013,0.02,0.211637675876309,152.054117286478,1.07126973210291e-07,0.729774415599464,0.729774415599464,0,0,0,0,0,0,0,1.2015121325315e-05,0.00688561662648397,0,0,10,60.3996658859538,20,54.2885880930898,10,73.8280492347796,20,41.6420805033652,0.249986581859472,0.249986581859472,0,0,0,0,0,0,6.17759194246337e-06,0,0.0010870998260445,0,0,10,0,0,1.33380267077127,0,20,0,0,10,0,0
15,22.5520818668977,0.03,0.208982414085281,152.076999471639,0.00244963202287338,0.72976630295077,0.72976630295077,0,-0.00112877421781832,-1.36172113545968e-06,-8.29798816920745e-07,0,0,0,8.1126486936034e-06,0.00688561662648397,0,0,15,60.4036042126427,30,54.3443724943877,15,73.8436845941596,30,41.6713985775125,0.24999318502523,0.24999318502523,0,0,0,0,0,0,-6.60316575776254e-06,0,0.0010870998260445,0,0,15,0,0,1.33380267078963,0,30,0,0,15,0,0
20,22.5615912871357,0.04,0.207845605912313,152.065236905117,0.00188350479373729,0.729782669977113,0.729782669977113,0,0,0,0,0,0,0,-1.63670263424454e-05,0.00688561662648397,0,0,20,60.4146590617727,40,54.3661484019138,20,73.8523167437201,40,41.6291284069812,0.250005579329564,0.250005579329564,0,0,0,0,0,0,-1.23943043344177e-05,0,0.0010870998260445,0,0,20,0,0,1.33380267080916,0,40,0,0,20,0,0
25,22.5787697794399,0.05,0.209937813746571,152.017608303812,0.000971505476861016,0.729828038573304,0.729828038573304,0,0.0014275425468071,1.72214675625065e-06,1.04943317959024e-06,0,0,0,-4.53685961918637e-05,0.00688561662648397,0,0,25,60.4252207446597,50,54.368352997444,25,73.8507925988436,50,41.6060249185677,0.250024379420309,0.250024379420309,0,0.00101062245815342,1.07155038040458e-06,5.95305766891433e-07,0,0,-1.88000907450081e-05,0,0.0010870998260445,0,0,25,0,0,1.33380267082615,0,50,0,0,25,0,0
30,22.5871174453865,0.06,0.209318190737183,151.953065739367,0.000380442172268809,0.729824852366589,0.729824852366589,0,0.00196650470094539,2.3723353811481e-06,1.44564187288712e-06,0,0,0,3.18620671535541e-06,0.00688561662648397,0,0,30,60.435821862061,60,54.351431824857,30,73.8412134667793,60,41.6209046453424,0.250022450309027,0.250022450309027,0,0.0010284196958672,1.09042056945341e-06,6.05789205251896e-07,0,0,1.92911128199524e-06,0,0.0010870998260445,0,0,30,0,0,1.33380267083938,0,60,0,0,30,0,0
35,22.586453283476,0.07,0.204622017593166,151.937980827471,0.000103457376179021,0.729793946906815,0.729793946906815,0,0,0,0,0,0,0,3.09054597741332e-05,0.00688561662648397,0,0,35,60.4485975003118,70,54.341209285242,35,73.8276704760538,70,41.6112288436906,0.24999889560959,0.24999889560959,0,0,0,0,0,0,2.35546994372948e-05,0,0.0010870998260445,0,0,35,0,0,1.33380267084887,0,70,0,0,35,0,0
40,22.5742921400456,0.08,0.198363261082513,151.940792390243,5.51048659438992e-06,0.729762965272896,0.729762965272896,0,-0.0014527937460258,-1.75260908532321e-06,-1.06799616136883e-06,0,0,0,3.09816339189029e-05,0.00688561662648397,0,0,40,60.4660562653604,80,54.3635970385765,40,73.8011496694622,80,41.592906900605,0.249975044895802,0.249975044895802,0,-0.00130337666695013,-1.38195401459092e-06,-7.67752230328289e-07,0,0,2.38507137874655e-05,0,0.0010870998260445,0,0,40,0,0,1.33380267085524,0,80,0,0,40,0,0
45,22.5456141805732,0.09,0.202952133661309,151.944730046016,0.00189039237721996,0.729742758562726,0.729742758562726,0,-0.00223533953510469,-2.69665008451726e-06,-1.64327114525271e-06,0,0,0,2.02067101704451e-05,0.00688561662648397,0,0,45,60.4752294861411,90,54.3993474981007,45,73.7863892136963,90,41.5993065850812,0.249980422509271,0.249980422509271,0,-0.00122558998265987,-1.29947776397015e-06,-7.21932091094529e-07,0,0,-5.3776134688599e-06,0,0.0010870998260445,0,0,45,0,0,1.33380267085923,0,90,0,0,45,0,0
