time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_8,JoystickRotation,JoystickWinch
0,33.8650044385549,0,46.0466611966588,0,82.2758314305927,0,0,0,1.1177323699157,0,0,0,0
0.005,33.8776653501483,5,46.0357313734083,5,82.3008073548836,5,0,0,1.1177323699157,0,5,0,0
0.01,33.8829196411401,10,46.0268454609381,10,82.3234987825513,10,0,0,1.1177323699157,0,10,0,0
0.015,33.8821797339711,15,46.0183425342342,15,82.337826375188,15,0,0,1.1177323699157,0,15,0,0
0.02,33.8808173374674,20,46.0094300750778,20,82.3500394926079,20,0,0,1.1177323699157,0,20,0,0
0.025,33.8698616352728,25,46.0093538647837,25,82.3575063453249,25,0,0,1.1177323699157,0,25,0,0
0.03,33.8621035701792,30,46.0150939275303,30,82.3674322541557,30,0,0,1.1177323699157,0,30,0,0
0.035,33.8531550413815,35,46.0263160397151,35,82.3845181101809,35,0,0,1.1177323699157,0,35,0,0
0.04,33.8317347069781,40,46.0401104020777,40,82.3906567177305,40,0,0,1.1177323699157,0,40,0,0
0.045,33.8100637308934,45,46.0452602411473,45,82.39672625395,45,0,0,1.1177323699157,0,45,0,0
0.05,33.7840411340656,50,46.0419798070474,50,82.3884734854746,50,0,0,1.1177323699157,0,50,0,0
0.055,33.7658813497854,55,46.0354926524162,55,82.3732849283923,55,0,0,1.1177323699157,0,55,0,0
0.06,33.7597448915998,60,46.0286038872919,60,82.3669399381206,60,0,0,1.1177323699157,0,60,0,0
0.065,33.7694021912827,65,46.0245199811117,65,82.3673933721402,65,0,0,1.1177323699157,0,65,0,0
0.07,33.794050234007,70,46.0184985874412,70,82.3860254157105,70,0,0,1.1177323699157,0,70,0,0
0.075,33.8119309486849,75,46.0106564796154,75,82.4135799221781,75,0,0,1.1177323699157,0,75,0,0
0.08,33.8240340535701,80,45.9994232024689,80,82.4350488078548,80,0,0,1.1177323699157,0,80,0,0
0.085,33.8316983822899,85,45.9827292252259,85,82.4466679149983,85,0,0,1.1177323699157,0,85,0,0
0.09,33.8228636846847,90,45.9643268939621,90,82.4330645096267,90,0,0,1.1177323699157,0,90,0,0
0.095,33.8138489748317,95,45.9480446073046,95,82.4085522710076,95,0,0,1.1177323699157,0,95,0,0
0.1,33.8061625762644,100,45.9238024526934,100,82.3887742964253,100,0,0,1.1177323699157,0,100,0,0
0.105,33.8002624540526,105,45.9169910483085,105,82.3741733251183,105,0,0,1.1177323699157,0,105,0,0
0.11,33.8132282991045,110,45.9189328219588,110,82.367948815776,110,0,0,1.1177323699157,0,110,0,0
0.115,33.8343983682367,115,45.9263390969765,115,82.3702041440494,115,0,0,1.1177323699157,0,115,0,0
0.12,33.8577881086476,120,45.9559686485887,120,82.3701292692444,120,0,0,1.1177323699157,0,120,0,0
0.125,33.8765982550974,125,45.97743099799,125,82.3633192573978,125,0,0,1.1177323699157,0,125,0,0
0.13,33.8847318972786,130,46.0052829097988,130,82.36032037003,130,0,0,1.1177323699157,0,130,0,0
0.135,33.8868854968126,135,46.0239790882657,135,82.3594710496326,135,0,0,1.1177323699157,0,135,0,0
0.14,33.8917835846467,140,46.0223726532915,140,82.3635152108778,140,0,0,1.1177323699157,0,140,0,0
0.145,33.8971275169111,145,46.0063417760131,145,82.3748054536852,145,0,0,1.1177323699157,0,145,0,0
0.15,33.890395896357,150,45.9769195128678,150,82.3818103476344,150,0,0,1.1177323699157,0,150,0,0
0.155,33.867950648258,155,45.9480905069363,155,82.3896434787646,155,0,0,1.1177323699157,0,155,0,0
0.16,33.8382658202928,160,45.9240251073916,160,82.3966187744654,160,0,0,1.1177323699157,0,160,0,0
0.165,33.8023976545511,165,45.9058191730403,165,82.3964075197074,165,0,0,1.1177323699157,0,165,0,0
0.17,33.7789342925194,170,45.9063851582228,170,82.3987777981682,170,0,0,1.1177323699157,0,170,0,0
0.175,33.7703261399286,175,45.9113313537779,175,82.3866664587576,175,0,0,1.1177323699157,0,175,0,0
0.18,33.7772407082013,180,45.9250626318854,180,82.364339020201,180,0,0,1.1177323699157,0,180,0,0
0.185,33.799454753092,185,45.9462440336955,185,82.3390851111327,185,0,0,1.1177323699157,0,185,0,0
0.19,33.807792599103,190,45.9654980896269,190,82.3088586532541,190,0,0,1.1177323699157,0,190,0,0
0.195,33.8182384255124,195,45.9866140873142,195,82.2811586881733,195,0,0,1.1177323699157,0,195,0,0
0.2,33.8241703981788,200,46.0014414546966,200,82.2760554641319,200,0,0,1.1177323699157,0,200,0,0
0.205,33.8157470355701,205,46.0130854834901,205,82.2855302101444,205,0,0,1.1177323699157,0,205,0,0
0.21,33.8061188204779,210,46.0081628544357,210,82.2942375516109,210,0,0,1.1177323699157,0,210,0,0
0.215,33.79555632646,215,45.9928880289061,215,82.2993403408276,215,0,0,1.1177323699157,0,215,0,0
0.22,33.7843248117239,220,45.9849631043347,220,82.302056149701,220,0,0,1.1177323699157,0,220,0,0
0.225,33.7840835028031,225,45.9891432659767,225,82.3052011425789,225,0,0,1.1177323699157,0,225,0,0
0.23,33.7963533274292,230,46.0113548048416,230,82.3099506406433,230,0,0,1.1177323699157,0,230,0,0
0.235,33.8084137833029,235,46.0399585978508,235,82.3261040222693,235,0,0,1.1177323699157,0,235,0,0
0.24,33.8165922454849,240,46.0707281678527,240,82.3390468358678,240,0,0,1.1177323699157,0,240,0,0
0.245,33.8160621748551,245,46.0804916318745,245,82.3504584771986,245,0,0,1.1177323699157,0,245,0,0
0.25,33.8079605593529,250,46.0642133580736,250,82.3632252010624,250,0,0,1.1177323699157,0,250,0,0
0.255,33.7977839167723,255,46.0370825557084,255,82.3745960834467,255,0,0,1.1177323699157,0,255,0,0
0.26,33.7959062083523,260,45.9960568743886,260,82.375950378476,260,0,0,1.1177323699157,0,260,0,0
0.265,33.797982768218,265,45.9553080184608,265,82.3783932711755,265,0,0,1.1177323699157,0,265,0,0
0.27,33.8052920470117,270,45.9382011645562,270,82.3809349169179,270,0,0,1.1177323699157,0,270,0,0
0.275,33.8042368711356,275,45.9380078624711,275,82.3697792030573,275,0,0,1.1177323699157,0,275,0,0
0.28,33.788218781989,280,45.9453061054057,280,82.3657607373011,280,0,0,1.1177323699157,0,280,0,0
0.285,33.7757263684859,285,45.9585821156495,285,82.3578932060997,285,0,0,1.1177323699157,0,285,0,0
0.29,33.7572086451956,290,45.9609843021538,290,82.3476499642189,290,0,0,1.1177323699157,0,290,0,0
0.295,33.7446434424717,295,45.954401835894,295,82.3379582539431,295,0,0,1.1177323699157,0,295,0,0
0.3,33.7423852054662,300,45.9486963050361,300,82.3281170032714,300,0,0,1.1177323699157,0,300,0,0
0.305,33.7412139177015,305,45.9404560197815,305,82.3216528670258,305,0,0,1.1177323699157,0,305,0,0
0.31,33.7559553545788,310,45.9438220613897,310,82.3176879634964,310,0,0,1.1177323699157,0,310,0,0
0.315,33.7792272175849,315,45.961314007356,315,82.3268824771562,315,0,0,1.1177323699157,0,315,0,0
0.32,33.7988155742443,320,45.9899311926609,320,82.3385401353576,320,0,0,1.1177323699157,0,320,0,0
0.325,33.8137200764621,325,46.0189874264172,325,82.3513702493109,325,0,0,1.1177323699157,0,325,0,0
0.33,33.8223245580764,330,46.0322622330969,330,82.3608077684187,330,0,0,1.1177323699157,0,330,0,0
0.335,33.82108727551,335,46.0307832727478,335,82.3634623283202,335,0,0,1.1177323699157,0,335,0,0
0.34,33.8233266992843,340,46.0192141089422,340,82.3646163647611,340,0,0,1.1177323699157,0,340,0,0
0.345,33.8248438667443,345,46.0107191745924,345,82.3496779235562,345,0,0,1.1177323699157,0,345,0,0
0.35,33.8200866268812,350,45.995375536268,350,82.3395045473841,350,0,0,1.1177323699157,0,350,0,0
0.355,33.8094917570095,355,45.9832192313644,355,82.336834501548,355,0,0,1.1177323699157,0,355,0,0
0.36,33.8075075600281,360,45.9743673181254,360,82.3321726083556,360,0,0,1.1177323699157,0,360,0,0
0.365,33.8001003367258,365,45.962636559999,365,82.3407040368213,365,0,0,1.1177323699157,0,365,0,0
0.37,33.7876448847247,370,45.9648116903957,370,82.3422856667943,370,0,0,1.1177323699157,0,370,0,0
0.375,33.7825326038487,375,45.9556250907996,375,82.3405544305157,375,0,0,1.1177323699157,0,375,0,0
0.38,33.7643014620437,380,45.9390482870253,380,82.3357257918159,380,0,0,1.1177323699157,0,380,0,0
0.385,33.7431299235531,385,45.9294250832897,385,82.3226596196906,385,0,0,1.1177323699157,0,385,0,0
0.39,33.7354050885823,390,45.9243721825352,390,82.307999879232,390,0,0,1.1177323699157,0,390,0,0
0.395,33.7271933651036,395,45.927843377207,395,82.3120829867706,395,0,0,1.1177323699157,0,395,0,0
0.4,33.7333932070568,400,45.9383454714186,400,82.3295156977313,400,0,0,1.1177323699157,0,400,0,0
0.405,33.7678579782525,405,45.9312463412402,405,82.3577404354033,405,0,0,1.1177323699157,0,405,0,0
0.41,33.7998783210735,410,45.9155847871555,410,82.3844122206085,410,0,0,1.1177323699157,0,410,0,0
0.415,33.8334452220437,415,45.9138419451454,415,82.3909835871992,415,0,0,1.1177323699157,0,415,0,0
0.42,33.8548274699938,420,45.9261366149269,420,82.3819426762742,420,0,0,1.1177323699157,0,420,0,0
0.425,33.854151453833,425,45.9484228392919,425,82.3617074059675,425,0,0,1.1177323699157,0,425,0,0
0.43,33.8495689384195,430,45.9792617807407,430,82.3454125560171,430,0,0,1.1177323699157,0,430,0,0
0.435,33.8382598141191,435,45.9938076507037,435,82.3429320346389,435,0,0,1.1177323699157,0,435,0,0
0.44,33.8371870186331,440,45.9931755560726,440,82.3488393037277,440,0,0,1.1177323699157,0,440,0,0
0.445,33.8388911836818,445,45.9954779040825,445,82.3594306390083,445,0,0,1.1177323699157,0,445,0,0
0.45,33.8396479869654,450,46.0006215302264,450,82.3704344086064,450,0,0,1.1177323699157,0,450,0,0
0.455,33.8303372371721,455,46.0081216456922,455,82.3646514767043,455,0,0,1.1177323699157,0,455,0,0
0.46,33.8104140138129,460,46.0173964017279,460,82.3657102235616,460,0,0,1.1177323699157,0,460,0,0
0.465,33.7851077328701,465,46.0202868355081,465,82.3696218228443,465,0,0,1.1177323699157,0,465,0,0
0.47,33.7651911013873,470,46.0122843233057,470,82.3779936980624,470,0,0,1.1177323699157,0,470,0,0
0.475,33.7545748253041,475,45.9988197934874,475,82.3946510276752,475,0,0,1.1177323699157,0,475,0,0
0.48,33.7630632171921,480,45.9850483121741,480,82.4047371192279,480,0,0,1.1177323699157,0,480,0,0
