time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_8,JoystickRotation,JoystickWinch
0,34.6166777101793,0,41.6450735090199,0,80.0404329719998,0,0,0,0.803819879411109,0,0,0,0
0.005,34.6293877813453,5,41.6599202490967,5,80.0420075850754,5,0,0,0.803819879411109,0,5,0,0
0.01,34.6278407260206,10,41.6785242286159,10,80.0430050225365,10,0,0,0.803819879411109,0,10,0,0
0.015,34.6278709277154,15,41.6977868229453,15,80.0474046610302,15,0,0,0.803819879411109,0,15,0,0
0.02,34.6285922150478,20,41.7067067892373,20,80.0545244181455,20,0,0,0.803819879411109,0,20,0,0
0.025,34.6218805804957,25,41.7077649209117,25,80.0579197581601,25,0,0,0.803819879411109,0,25,0,0
0.03,34.6167505931781,30,41.7128147501896,30,80.0591418724559,30,0,0,0.803819879411109,0,30,0,0
0.035,34.6054942783517,35,41.7207432198305,35,80.0630270102016,35,0,0,0.803819879411109,0,35,0,0
0.04,34.5913868331696,40,41.722984627188,40,80.0731991028779,40,0,0,0.803819879411109,0,40,0,0
0.045,34.5877560639578,45,41.7166483227759,45,80.0883687858804,45,0,0,0.803819879411109,0,45,0,0
0.05,34.5855014436223,50,41.7113300342309,50,80.1090931334309,50,0,0,0.803819879411109,0,50,0,0
0.055,34.5975500097097,55,41.7015724680781,55,80.1156875967602,55,0,0,0.803819879411109,0,55,0,0
0.06,34.6083080275793,60,41.6970991229571,60,80.1016749009756,60,0,0,0.803819879411109,0,60,0,0
0.065,34.6015664548612,65,41.7013743134169,65,80.0750407559893,65,0,0,0.803819879411109,0,65,0,0
0.07,34.5824388795494,70,41.7012161282509,70,80.0450915566091,70,0,0,0.803819879411109,0,70,0,0
0.075,34.5570216128328,75,41.702939454059,75,80.0183567521278,75,0,0,0.803819879411109,0,75,0,0
0.08,34.5404239468288,80,41.7014111120315,80,80.0029337010279,80,0,0,0.803819879411109,0,80,0,0
0.085,34.530308885246,85,41.6948743921688,85,80.0044406797209,85,0,0,0.803819879411109,0,85,0,0
0.09,34.5265394454414,90,41.6890552957356,90,80.0055558024383,90,0,0,0.803819879411109,0,90,0,0
0.095,34.5204391185118,95,41.6901803454013,95,80.0120427910543,95,0,0,0.803819879411109,0,95,0,0
0.1,34.5028254102938,100,41.6922868076399,100,80.019886563039,100,0,0,0.803819879411109,0,100,0,0
0.105,34.4790705616295,105,41.6906846965224,105,80.0251977151467,105,0,0,0.803819879411109,0,105,0,0
