time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,34.0359164013487,0.203592498851895,141.062934499267,-2.89421766774921e-06,0.500719879245035,0.500719879245035,0,0,0,0,0,0,0,-5.07965219709305e-06,41.320285631463,19.9545569723194,81.5355463914236,75.161940488219,0.080048735648527,0.080048735648527,0,0,0,0,0,0,7.13191683426873e-06,0,0,0,1.11986396925157,-0.0230904030512318,0.022508038585209,-0.0205782487910279,-0.0221990620114643,-0.0209695837226202
0.01,34.02809014867,0.198801194167961,141.058929966954,-1.64572310363196e-06,0.500719704158103,0.500719704158103,0,0,0,0,0,0,0,1.7508693128665e-07,41.3241108590672,19.9724791901065,81.5485669459749,75.1473626812529,0.0799784661951822,0.0799784661951822,0,-0.00154299144855763,-1.63601457727743e-06,-9.08896987376348e-07,0,0,7.02694533447623e-05,0,0,0,1.11986396925157,-0.023399649520668,0.0229229333056737,-0.0209898137668484,-0.0226159458051068,-0.0215924426450742
0.02,34.0065353571451,0.194237377923481,141.058698142259,-8.3796015348496e-07,0.500717238301123,0.500717238301123,0,0,0,0,0,0,0,2.46585698016055e-06,41.3273846621088,19.9916410818908,81.5614504845513,75.1392464115031,0.0800601031428338,0.0800601031428338,0,0,0,0,0,0,-8.1636947651606e-05,0,0,0,1.11986396925157,-0.0232965673641893,0.0228192096255575,-0.0207840312789382,-0.0224075039082856,-0.0213848230042562
0.03,33.9956342521925,0.19429917443978,141.033478787376,-3.50763554416471e-07,0.500708707906188,0.500708707906188,0,0,0,0,0,0,0,8.53039493475816e-06,41.3337165524575,20.0064512713351,81.5646365485708,75.1390606308155,0.0800709780330756,0.0800709780330756,0,0,0,0,0,0,-1.08748902418049e-05,0,0,0,1.11986396925157,-0.0224719101123595,0.0221968675448605,-0.0202695750591625,-0.0215737363210005,-0.0206581542613931
0.04,33.9816038403904,0.192579316681109,140.991643032622,-8.10636408739389e-08,0.500698834252986,0.500698834252986,0,0,0,0,0,0,0,9.87365320215261e-06,41.3423150193053,20.02274785274,81.5573282041589,75.1290583464925,0.0799614195154283,0.0799614195154283,0,-0.00109653437100121,-1.16264170946681e-06,-6.45912060814896e-07,0,0,0.00010955851764731,0,0,0,1.11986396925157,-0.0228842387382744,0.022508038585209,-0.0208869225228933,-0.021990620114643,-0.0209695837226202
0.05,33.966477622989,0.190342058160778,140.979510640789,5.05723854733966e-08,0.500689909880072,0.500689909880072,0,0,0,0,0,0,0,8.92437291422077e-06,41.342945498882,20.0447804593093,81.5465315447787,75.1181937734597,0.0800096321840101,0.0800096321840101,0,0,0,0,0,0,-4.82126685818068e-05,0,0,0,1.11986396925157,-0.0228842387382744,0.022508038585209,-0.0207840312789382,-0.0220948410630537,-0.0209695837226202
0.06,33.9684803950906,0.192038495266878,140.980470078714,1.00745891991439e-07,0.500682797895356,0.500682797895356,0,0,0,0,0,0,0,7.11198471614605e-06,41.3685568103716,20.0792469420806,81.5339757267523,75.1067391101527,0.0800636542395547,0.0800636542395547,0,0,0,0,0,0,-5.40220555445836e-05,0,0,0,1.11986396925157,-0.023399649520668,0.0232341043460222,-0.021401378742669,-0.0229286086503387,-0.0214886328246652
0.07,33.9777268163167,0.191392778128261,140.981336243364,1.07147451566873e-07,0.50067215699992,0.50067215699992,0,0,0,0,0,0,0,1.06408954361203e-05,41.4030952024839,20.1309729602744,81.5187919800972,75.0987191621181,0.079968022289011,0.079968022289011,0,0,0,0,0,0,9.5631950543712e-05,0,0,0,1.11986396925157,-0.0230904030512318,0.022508038585209,-0.0208869225228933,-0.0223032829598749,-0.0209695837226202
0.08,33.984912264879,0.193627239821417,140.980119712632,9.32394991913305e-08,0.500667060039023,0.500667060039023,0,0,0,0,0,0,0,5.09696089645573e-06,41.4190216826607,20.1860480909915,81.5029137122232,75.1010919673759,0.0799838395049297,0.0799838395049297,0,0,0,0,0,0,-1.58172159186731e-05,0,0,0,1.11986396925157,-0.0231934852077105,0.0224043149050928,-0.0205782487910279,-0.0223032829598749,-0.0209695837226202
0.09,33.9786287179534,0.192970774621624,140.968642932809,7.25439148822778e-08,0.50066520470062,0.50066520470062,0,0,0,0,0,0,0,1.8553384031339e-06,41.4223442337438,20.2282813572231,81.4930211627221,75.1000538119137,0.0800776088673546,0.0800776088673546,0,0,0,0,0,0,-9.37693624249586e-05,0,0,0,1.11986396925157,-0.0235027316771467,0.0229229333056737,-0.0208869225228933,-0.0226159458051068,-0.0214886328246652
0.1,33.9750097527015,0.194954077356349,140.954432073073,5.20857788206803e-08,0.500670508156856,0.500670508156856,0,0,0,0,0,0,0,-5.30345623572792e-06,41.4100563111732,20.2334726344385,81.4873139989194,75.0976730387915,0.0800160861981664,0.0800160861981664,0,0,0,0,0,0,6.1522669188227e-05,0,0,0,1.11986396925157,-0.022678074425317,0.0221968675448605,-0.0203724663031176,-0.0217821782178218,-0.0207619640818021
0.11,33.9864754158649,0.199698485036571,140.945046807048,3.49271030995958e-08,0.500678141512938,0.500678141512938,0,0,0,0,0,0,0,-7.63335608167104e-06,41.390894451788,20.2062619809433,81.4824381372279,75.0950717520238,0.080014439672689,0.080014439672689,0,0,0,0,0,0,1.6465254774195e-06,0,0,0,1.11986396925157,-0.0235027316771467,0.023130380665906,-0.021401378742669,-0.0228243877019281,-0.0215924426450742
0.12,34.0008988651573,0.20492006598172,140.941162214087,2.19034459453652e-08,0.500685610683831,0.500685610683831,0,0,0,0,0,0,0,-7.4691708937813e-06,41.3735987526698,20.2014134100622,81.4786904088042,75.0889668207799,0.0801207318429232,0.0801207318429232,0,0.00160900593719226,1.70600891575463e-06,9.47782730974796e-07,0,0,-0.000106292170234196,0,0,0,1.11986396925157,-0.0230904030512318,0.022508038585209,-0.020681140034983,-0.0223032829598749,-0.0210733935430292
0.13,34.0200936566021,0.2095367564018,140.944123415954,1.27376931081172e-08,0.500686402014329,0.500686402014329,0,0,0,0,0,0,0,-7.91330498017828e-07,41.3636397522338,20.2186246811698,81.4741193029737,75.0784570260878,0.0800830049095259,0.0800830049095259,0,0.00144898718003361,1.53634302447954e-06,8.53523902488635e-07,0,0,3.7726933397278e-05,0,0,0,1.11986396925157,-0.0228842387382744,0.0224043149050928,-0.0205782487910279,-0.0221990620114643,-0.0210733935430292
