time,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,0.0044117213012313,58.6132837636871,0.202632680223483,142.874208980245,0.261327279757019,0.261327279757019,0,0,0,0,0,0,0,0,52.0306980928827,55.8923162801466,63.5129632824381,56.0298806884464,0.824672208306509,0.824672208306509,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0225749922688383,0.0223005912249767,-0.0203724663031176,-0.0217821782178218,-0.0207619640818021
0.01,0.00440440867882614,58.6150272221763,0.202780839646173,142.874469479445,0.261327226569283,0.261327226569283,0,0,0,0,0,0,0,0,52.0309118811098,55.8925976230865,63.5138309805976,56.0300340439553,0.824668610195685,0.824668610195685,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0224719101123595,0.0223005912249767,-0.0202695750591625,-0.021990620114643,-0.0207619640818021
0.02,0.00438035793041503,58.6161532782386,0.202838180779522,142.87475891078,0.26132727192042,0.26132727192042,0,0,0,0,0,0,0,0,52.0306612630516,55.8930668892448,63.5152531812404,56.0302296612921,0.824668438575441,0.824668438575441,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0228842387382744,0.0229229333056737,-0.0209898137668484,-0.0224075039082856,-0.0209695837226202
0.03,0.00434115131523588,58.6174834336926,0.202812547150373,142.875603682661,0.26132754437974,0.26132754437974,0,0,0,0,0,0,0,0,52.0303258444532,55.8937537205144,63.5169822263571,56.0301256626143,0.824669651212246,0.824669651212246,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0232965673641893,0.0232341043460222,-0.0212984874987139,-0.0228243877019281,-0.0213848230042562
0.04,0.00428829032963891,58.6188979157039,0.202663220000897,142.876902920904,0.261327747682752,0.261327747682752,0,0,0,0,0,0,0,0,52.0301072562655,55.8944433014737,63.5184539025865,56.030182817756,0.824667379113888,0.824667379113888,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0231934852077105,0.0230266569857899,-0.0207840312789382,-0.0226159458051068,-0.0213848230042562
0.05,0.00422319695581779,58.6198053322793,0.202449972866144,142.878611113504,0.261327887171916,0.261327887171916,0,0,0,0,0,0,0,0,52.0299959801632,55.8952290512323,63.5196852691804,56.0305311600221,0.824663679336787,0.824663679336787,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.022678074425317,0.022508038585209,-0.0202695750591625,-0.0221990620114643,-0.0208657739022112
0.06,0.00419540801196092,58.6204881222216,0.202323906087707,142.880492406467,0.261327967966899,0.261327967966899,0,0,0,0,0,0,0,0,52.0297901483522,55.8957137792522,63.520789204047,56.0307578968185,0.824663118470137,0.824663118470137,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.022678074425317,0.022508038585209,-0.020681140034983,-0.0223032829598749,-0.0208657739022112
0.07,0.00424991131858347,58.6213972858671,0.202277770714926,142.882572184351,0.261327994964164,0.261327994964164,0,0,0,0,0,0,0,0,52.0297399399153,55.8960187057878,63.5216280936156,56.0310175172969,0.82466304921038,0.82466304921038,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0227811565817957,0.0227154859454413,-0.0207840312789382,-0.0224075039082856,-0.0208657739022112
0.08,0.00442737230701375,58.6221717686549,0.202256453466915,142.884631828024,0.261327972837468,0.261327972837468,0,0,0,0,0,0,0,0,52.0299763034341,55.896833304355,63.5224631418799,56.0314024603467,0.824659635185446,0.824659635185446,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0235027316771467,0.0232341043460222,-0.0212984874987139,-0.02313705054716,-0.0218000622858922
0.09,0.00461977886067793,58.6227722875769,0.202257833220333,142.886616802518,0.261327906039205,0.261327906039205,0,0,0,0,0,0,0,0,52.0302318771774,55.8979644920885,63.5233877793278,56.0314663343173,0.82465587376311,0.82465587376311,0,0,0,0,0,0,0,0,0,0,2.37096483509391,-0.0232965673641893,0.0230266569857899,-0.0209898137668484,-0.0230328295987493,-0.0215924426450742
