time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,14.7664395160856,0.219092465021301,142.879457249233,0.00160455319189892,0.7,0.701358925575811,0,0,0,0,0,0,0,-0.00130422998765667,48.3251085578598,14.0875246482666,80.6579661583407,76.9707414248466,0.75,0.750045330068666,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.01,14.7432753072214,0.218301423928764,142.879479326022,0.00085350840479165,0.7,0.701366386238289,0,0,0,0,0,0,0,-0.00130422998765667,48.3293960085187,14.1007481108323,80.6598035154027,76.9742112168189,0.75,0.749997216386724,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.02,14.7411920470458,0.220082342515094,142.865516445918,0.00229519409871328,0.7,0.701368903269514,0,0,0,0,0,0,0,-0.00130422998765667,48.3293367025835,14.1140198760643,80.6521321123716,76.9709095615611,0.75,0.750125707851113,0,0.0016158719714241,1.71328888616657e-06,9.51827158981426e-07,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.03,14.7449213201135,0.22271976739905,142.857096014775,0.0101979321685577,0.7,0.701363407341457,0,0,0,0,0,0,0,-0.00130422998765667,48.3445257032374,14.1118964268494,80.639557615406,76.9536985499044,0.75,0.750212021658079,0,0.0034533489099573,3.66154275345891e-06,2.03419041858828e-06,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.04,14.7449135483799,0.221510602619843,142.854341827975,0.0178105742491418,0.7,0.701349795721176,0,0,0,0,0,0,0,-0.00130422998765667,48.3716947117519,14.1128444688175,80.6420340621701,76.9330391150728,0.75,0.750091212802796,0,0.00183814401867721,1.94896116404427e-06,1.08275620224682e-06,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.05,14.7508835619024,0.218793348415972,142.852611087029,0.0202938845334832,0.7,0.701334729458756,0,0,0,0,0,0,0,-0.00130422998765667,48.39037454592,14.1245308907675,80.6488571772664,76.9159908539492,0.75,0.750004170535161,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.06,14.7623709667036,0.21774141683884,142.861133552007,0.0201266166250906,0.7,0.70133225228275,0,0,0,0,0,0,0,-0.00130422998765667,48.3947672370582,14.1429421596503,80.658438613363,76.895572723584,0.75,0.750108151490447,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.07,14.7630607602051,0.219494694261521,142.859504306321,0.0169098856777603,0.7,0.701335715573897,0,0,0,0,0,0,0,-0.00130422998765667,48.399796401918,14.1633512872861,80.6639280732433,76.8768564497641,0.75,0.750142634765467,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.08,14.7607857941957,0.222211691574676,142.847932218696,0.0147565028330628,0.7,0.701335819624465,0,0,0,0,0,0,0,-0.00130422998765667,48.3966958415463,14.170016970706,80.6610362776229,76.8675325165558,0.75,0.750016047725472,0,0,0,0,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
0.09,14.7632770569221,0.224929548746263,142.84521869291,0.0153147707751307,0.7,0.701334425508425,0,0,0,0,0,0,0,-0.00130422998765667,48.3962119253451,14.1733914533938,80.6453672500384,76.8733394415458,0.75,0.750019461499706,0,-0.00141520111309035,-1.5005200793299e-06,-8.33622266294388e-07,0,0,-0.000113048759062262,0,0,0,1.67141640993281,0,0,0,0,0
