Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\FixedXSensor_090525.csv,
Starttime of export,133912725458610000,fredag 9. mai 2025,15:55:45.861
Endtime of export,133912725882510000,fredag 9. mai 2025,15:56:28.251


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch

0,15.458525023816575,0,0.20478359253723624,153.45432182272663,0.0044305646433802689,0.7126731915313923,0.71267888895987919,0,0,0,0,-0.017860020695822282,0,0,-5.6974284868838154E-06,-0.013958525345622117,-0.12557824879102789,0,0,59.227192809396406,0,19.89892111005619,0,81.492557948921871,0,67.691472523868626,0.032651494894540306,0.032680822374582676,0,0,0,0,0.024243566370175537,0,-2.9327480042369569E-05,0,0.090003265480513933,0.059404314905092834,0,0,0,0,1.0707370645899688,-0.022781156581795692,0,0.022404314905092832,-0.020578248791027882,0,-0.022199062011464304,-0.021384823004256204
5,15.473658819549859,10,0.20855904178829462,153.42660944764597,0.0036474797622436132,0.7126731915313923,0.712692466364966,0,0,0,0,-0.01750461869082812,0,0,-1.9274833573668104E-05,-0.013958525345622117,-0.12516668381520732,0,5,59.24955594873817,10,19.938902975183453,5,81.499940523040678,10,67.677955307988654,0.032651494894540306,0.032719309290597444,0,0,0,0,0.023912911219122958,0,-6.7814396057137849E-05,0,0.090003265480513933,0.059093143864744319,0,5,0,0,1.0707370621666317,-0.02247191011235955,10,0.02209314386474432,-0.020166683815207326,5,-0.021677957269411151,-0.02086577390221115
10,15.486886110384072,20,0.21650031251831497,153.42970033428304,0.0071391202472562629,0.7126731915313923,0.71270516419855667,0,0,0,0,-0.018130070615815362,0,0,-3.1972667164370527E-05,-0.013958525345622117,-0.1258869225228933,0,10,59.269762043211024,20,19.984804245032343,10,81.514117732901738,20,67.6866640831994,0.032651494894540306,0.032733321971305372,0,0.0020503276244396851,2.1739367933072752E-06,1.2077426629484864E-06,0.02470274302439722,0,-8.182707676506612E-05,0,0.090003265480513933,0.059819209625557514,0,10,0,0,1.0707370603234379,-0.022781156581795692,20,0.022819209625557516,-0.0208869225228933,10,-0.022199062011464304,-0.02107339354302917
15,15.502925667198394,30,0.21942206564583644,153.40907887980438,0.0056203955337512162,0.7126731915313923,0.7126998571407781,0,0,0,0,-0.01813146373734411,0,0,-2.666560938580087E-05,-0.013958525345622117,-0.1258869225228933,0,15,59.2896737903551,30,19.997567454775915,15,81.530984772717531,30,67.707820789316713,0.032651494894540306,0.032714541216476226,0,0.0011115049330765459,1.1785148096114558E-06,6.547304497841421E-07,0.024705833616754887,0,-6.3046321935919525E-05,0,0.090003265480513933,0.059819209625557514,0,15,0,0,1.0707370590240024,-0.023193485207710546,30,0.022819209625557516,-0.0208869225228933,15,-0.022407503908285567,-0.021488632824665212
20,15.506263398343325,40,0.21767359175607251,153.37766182606143,0.0072880313062541535,0.7126731915313923,0.71269090599102225,0,0,0,0,-0.017686588743887649,0,0,-1.7714459629947221E-05,-0.013958525345622117,-0.1253724663031176,0,20,59.312065167300155,40,20.021250406593644,20,81.540685623883647,40,67.758697706624986,0.032651494894540306,0.032706905877491442,0,0,0,0,0.02426164728507766,0,-5.5410982951135945E-05,0,0.090003265480513933,0.059404314905092834,0,20,0,0,1.0707370581673621,-0.02309040305123183,40,0.022404314905092832,-0.020372466303117606,20,-0.022303282959874934,-0.021384823004256204
25,15.497757677073849,50,0.21821014326871749,153.35248936303003,0.018418489513559302,0.7126731915313923,0.71269204534657637,0,0,0,0,-0.017509405934377525,0,0,-1.8853815184072253E-05,-0.013958525345622117,-0.12516668381520732,0,25,59.335866400788312,50,20.06367149515971,25,81.5399913962377,50,67.800129669584379,0.032651494894540306,0.032710085120122044,0,0,0,0,0.024155447382071787,0,-5.8590225581738042E-05,0,0.090003265480513933,0.059300591224976662,0,25,0,0,1.0707370576398312,-0.023296567364189259,50,0.022300591224976664,-0.020166683815207326,25,-0.022511724856696197,-0.021800062285892246
30,15.48535549491292,60,0.21705668063992492,153.32799254567456,0.023978233742171368,0.7126731915313923,0.71268767428793411,0,0,0,0,-0.017510740629035158,0,0,-1.4482756541811526E-05,-0.013958525345622117,-0.12516668381520732,0,30,59.348947667272171,60,20.058484406569253,30,81.532913533100739,60,67.818795071282537,0.032651494894540306,0.032707900665276728,0,0,0,0,0.024044838230988297,0,-5.6405770736421557E-05,0,0.090003265480513933,0.05919686754486049,0,30,0,0,1.0707370573398642,-0.022678074425316979,60,0.022196867544860492,-0.020166683815207326,30,-0.021573736321000521,-0.02107339354302917
35,15.471264817785825,70,0.20406315265471756,153.34157504859155,0.020890223047569118,0.7126731915313923,0.71268409164400381,0,0,0,0,-0.01804521768991094,0,0,-1.0900112611511581E-05,-0.013958525345622117,-0.12578403127893817,0,35,59.353350815074926,70,20.008065225704318,35,81.508874503744607,70,67.806564208673379,0.032651494894540306,0.032702904753829767,0,0,0,0,0.024713059155354707,0,-5.140985928946129E-05,0,0.090003265480513933,0.059819209625557514,0,35,0,0,1.0707370571871286,-0.02309040305123183,70,0.022819209625557516,-0.020784031278938162,35,-0.022199062011464304,-0.021488632824665212
40,15.473879958780332,80,0.19642755763050751,153.37051251914349,0.012237060385628874,0.7126731915313923,0.71268218759775592,0,0,0,0,-0.017864419060680783,0,0,-8.9960663636201588E-06,-0.013958525345622117,-0.12557824879102789,0,40,59.341800314369927,80,19.986079685364185,40,81.484919586228457,80,67.760324585439278,0.032651494894540306,0.032693373611784433,0,0,0,0,0.024708341275278288,0,-4.1878717244127339E-05,0,0.090003265480513933,0.059819209625557514,0,40,0,0,1.0707370571231947,-0.02309040305123183,80,0.022819209625557516,-0.020578248791027882,40,-0.022199062011464304,-0.021592442645074223
