Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Scope Project.csv,
Starttime of export,133912747628110000,fredag 9. mai 2025,16:32:42.811
Endtime of export,133912748130010000,fredag 9. mai 2025,16:33:33.001


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch

0,22.537063386782684,0,0.22101287771857275,152.00670977667477,-3.5102833518964484E-07,0.72980018053231055,0.72980018053231055,0,0,0,0,0,0,0,4.91516329925723E-06,0.0068856166264839661,0,0,0,60.414979545890276,0,54.24463288583636,0,73.7913482190294,0,41.528440768591842,0.25001072125076135,0.25001072125076135,0,0,0,0,0,0,-1.1526031136743775E-06,0,0.0010870998260444978,0,0,0,0,0,1.3338026707768227,0,0,0,0,0,0,0
5,22.541347568789078,10,0.21628709870294163,152.01834893085407,5.0478735664282707E-08,0.72978643072078908,0.72978643072078908,0,0,0,0,0,0,0,1.374981152146848E-05,0.0068856166264839661,0,0,5,60.404611103093863,10,54.230210094476739,5,73.810715942089189,10,41.571089010757376,0.24999275945141425,0.24999275945141425,0,0,0,0,0,0,1.7961799347099294E-05,0,0.0010870998260444978,0,0,5,0,0,1.3338026707620472,0,10,0,0,5,0,0
10,22.546038166901337,20,0.21163767587630883,152.0541172864778,1.0712697321029148E-07,0.72977441559946377,0.72977441559946377,0,0,0,0,0,0,0,1.2015121325315015E-05,0.0068856166264839661,0,0,10,60.399665885953794,20,54.288588093089807,10,73.8280492347796,20,41.642080503365179,0.24998658185947178,0.24998658185947178,0,0,0,0,0,0,6.1775919424633674E-06,0,0.0010870998260444978,0,0,10,0,0,1.3338026707712651,0,20,0,0,10,0,0
15,22.552081866897741,30,0.20898241408528115,152.07699947163914,0.0024496320228733839,0.72976630295077016,0.72976630295077016,0,-0.001128774217818318,-1.3617211354596834E-06,-8.2979881692074485E-07,0,0,0,8.112648693603397E-06,0.0068856166264839661,0,0,15,60.403604212642712,30,54.344372494387706,15,73.843684594159612,30,41.671398577512477,0.24999318502522955,0.24999318502522955,0,0,0,0,0,0,-6.6031657577625413E-06,0,0.0010870998260444978,0,0,15,0,0,1.3338026707896282,0,30,0,0,15,0,0
20,22.561591287135702,40,0.20784560591231344,152.06523690511713,0.0018835047937372856,0.72978266997711261,0.72978266997711261,0,0,0,0,0,0,0,-1.6367026342445357E-05,0.0068856166264839661,0,0,20,60.414659061772689,40,54.366148401913847,20,73.8523167437201,40,41.629128406981231,0.25000557932956397,0.25000557932956397,0,0,0,0,0,0,-1.2394304334417683E-05,0,0.0010870998260444978,0,0,20,0,0,1.3338026708091582,0,40,0,0,20,0,0
25,22.5787697794399,50,0.20993781374657136,152.01760830381247,0.00097150547686101552,0.72982803857330447,0.72982803857330447,0,0.0014275425468071035,1.7221467562506468E-06,1.049433179590238E-06,0,0,0,-4.536859619186373E-05,0.0068856166264839661,0,0,25,60.425220744659654,50,54.368352997444006,25,73.8507925988436,50,41.606024918567719,0.250024379420309,0.250024379420309,0,0.0010106224581534207,1.0715503804045802E-06,5.9530576689143325E-07,0,0,-1.8800090745008102E-05,0,0.0010870998260444978,0,0,25,0,0,1.333802670826153,0,50,0,0,25,0,0
30,22.587117445386497,60,0.20931819073718302,151.95306573936747,0.00038044217226880874,0.72982485236658912,0.72982485236658912,0,0.0019665047009453929,2.3723353811480983E-06,1.4456418728871224E-06,0,0,0,3.1862067153554108E-06,0.0068856166264839661,0,0,30,60.43582186206104,60,54.351431824857045,30,73.841213466779337,60,41.620904645342378,0.250022450309027,0.250022450309027,0,0.0010284196958671998,1.0904205694534124E-06,6.0578920525189585E-07,0,0,1.9291112819952438E-06,0,0.0010870998260444978,0,0,30,0,0,1.3338026708393755,0,60,0,0,30,0,0
35,22.586453283475997,70,0.20462201759316576,151.93798082747114,0.00010345737617902147,0.729793946906815,0.729793946906815,0,0,0,0,0,0,0,3.090545977413317E-05,0.0068856166264839661,0,0,35,60.448597500311813,70,54.341209285241952,35,73.8276704760538,70,41.6112288436906,0.24999889560958968,0.24999889560958968,0,0,0,0,0,0,2.3554699437294824E-05,0,0.0010870998260444978,0,0,35,0,0,1.3338026708488693,0,70,0,0,35,0,0
40,22.574292140045561,80,0.1983632610825129,151.94079239024265,5.5104865943899234E-06,0.72976296527289608,0.72976296527289608,0,-0.0014527937460258045,-1.7526090853232112E-06,-1.0679961613688322E-06,0,0,0,3.0981633918902851E-05,0.0068856166264839661,0,0,40,60.466056265360415,80,54.363597038576536,40,73.801149669462163,80,41.592906900605037,0.24997504489580222,0.24997504489580222,0,-0.001303376666950129,-1.3819540145909206E-06,-7.6775223032828924E-07,0,0,2.3850713787465505E-05,0,0.0010870998260444978,0,0,40,0,0,1.3338026708552355,0,80,0,0,40,0,0
45,22.545614180573203,90,0.20295213366130893,151.94473004601585,0.0018903923772199559,0.72974275856272564,0.72974275856272564,0,-0.0022353395351046856,-2.696650084517262E-06,-1.6432711452527068E-06,0,0,0,2.0206710170445064E-05,0.0068856166264839661,0,0,45,60.475229486141068,90,54.399347498100667,45,73.786389213696268,90,41.599306585081159,0.24998042250927108,0.24998042250927108,0,-0.0012255899826598693,-1.2994777639701521E-06,-7.2193209109452885E-07,0,0,-5.3776134688598987E-06,0,0.0010870998260444978,0,0,45,0,0,1.3338026708592279,0,90,0,0,45,0,0
50,22.516034475486073,100,0.21534490582479585,151.97257799533085,0.0022934064644473322,0.72974412901795771,0.72974412901795771,0,-0.0018414987905828184,-2.2215318036823567E-06,-1.3537459428689364E-06,0,0,0,-1.3704552320747965E-06,0.0068856166264839661,0,0,50,60.492659114379862,100,54.391371674784082,50,73.7829343474476,100,41.606408730688308,0.24998403895988502,0.24998403895988502,0,0,0,0,0,0,-3.6164506139468866E-06,0,0.0010870998260444978,0,0,50,0,0,1.3338026708615496,0,100,0,0,50,0,0
55,22.4811446428495,110,0.22291534781974914,151.99064457851492,0.0013955133771146933,0.72978575939653323,0.72978575939653323,0,0,0,0,0,0,0,-4.1630378575518989E-05,0.0068856166264839661,0,0,55,60.511009246630046,110,54.357175541512333,55,73.781193833900275,110,41.655300054236235,0.24999188801028596,0.24999188801028596,0,0,0,0,0,0,-7.84905040093764E-06,0,0.0010870998260444978,0,0,55,0,0,1.3338026708627717,0,110,0,0,55,0,0
60,22.443641738858616,120,0.22303399527401388,152.0126328084618,0.00062669129750780493,0.72982929027606835,0.72982929027606835,0,0.0024208881924181469,2.9204907112178396E-06,1.7796740271483707E-06,0,0,0,-4.3530879535125244E-05,0.0068856166264839661,0,0,60,60.530712506575469,120,54.314958772616968,60,73.780481397458416,120,41.710356059743916,0.25002174696153634,0.25002174696153634,0,0.0010830080967743072,1.1482999697039941E-06,6.3794442761333007E-07,0,0,-2.9858951250377741E-05,0,0.0010870998260444978,0,0,60,0,0,1.3338026708633179,0,120,0,0,60,0,0
