Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\MainSineTest_230425.csv,
Starttime of export,133898806006900000,onsdag 23. april 2025,13:16:40.690
Endtime of export,133898806474500000,onsdag 23. april 2025,13:17:27.450


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,58.056651436885375,0.19729730105290538,141.34687795757335,-2.3700221639335076E-06,0.30044252509648794,0.30044252509648794,0,0,0,0,0,0,0,-1.24325063085573E-05,64.1915223754425,17.161758784214406,81.975872246206208,36.9662059122884,0.82508930841484618,0.82508930841484618,0,0,0,0,0,0,-1.7046496927464183E-05,0,0,0,1.4675749920231904,-0.02309040305123183,0.022819209625557516,-0.020784031278938162,-0.022094841063053674,-0.020969583722620162
10,58.049135572849515,0.20128375868915444,141.3350943649321,-1.119441432155651E-06,0.30045701309293404,0.30045701309293404,0,0,0,0,0,0,0,-1.4487996446099771E-05,64.202705930709556,17.196526488994067,81.987434221598491,36.9778640005931,0.8250602523114785,0.8250602523114785,0,0,0,0,0,0,2.9056103367675057E-05,0,0,0,1.4675749920231904,-0.02247191011235955,0.021989420184628152,-0.020166683815207326,-0.021573736321000521,-0.020554344440984116
20,58.054893789651061,0.20592341852213569,141.32452492419054,0.0019058963061601574,0.30046470640273654,0.30046470640273654,0,0,0,0,0,0,0,-7.6933098024922764E-06,64.197488219211451,17.212442788297537,82.007393049278861,36.986563732475346,0.8250841602790967,0.8250841602790967,0,0,0,0,0,0,-2.3907967618197468E-05,0,0,0,1.4675749920231904,-0.022781156581795692,0.022404314905092832,-0.020681140034983024,-0.021990620114643044,-0.020969583722620162
30,58.056077184294409,0.20440784658563871,141.30661016391389,0.0024495483892276971,0.30045732280997756,0.30045732280997756,0,0,0,0,0,0,0,7.3835927589804839E-06,64.195381377335679,17.206119650289178,82.0241268033995,37.000225015237227,0.82508394037266153,0.82508394037266153,0,0,0,0,0,0,2.1990643517266761E-07,0,0,0,1.4675749920231904,-0.021956499329965982,0.02167824914427964,-0.020063792571252185,-0.021156852527357998,-0.020035295338939062
40,58.060776481451455,0.20041358321297889,141.29206515911,0.0023068610878083026,0.30044444110029273,0.30044444110029273,0,0,0,0,0,0,0,1.2881709684831044E-05,64.191163308304965,17.198598224089434,82.015855527817536,37.006316588569646,0.82507311087203916,0.82507311087203916,0,0,0,0,0,0,1.0829500622366872E-05,0,0,0,1.4675749920231904,-0.023193485207710546,0.022819209625557516,-0.021401378742668998,-0.022303282959874934,-0.02107339354302917
50,58.072011840537812,0.19976216951477793,141.3041535075198,0.0018836791907947731,0.30043658453820948,0.30043658453820948,0,0,0,0,0,0,0,7.8565620832415917E-06,64.1790474082991,17.197441578884273,81.995938703714728,36.994773533428642,0.82510305147425833,0.82510305147425833,0,0,0,0,0,0,-2.99406022191695E-05,0,0,0,1.4675749920231904,-0.023399649520667972,0.023026656985789856,-0.021504269986624139,-0.022615945805106827,-0.021384823004256204
60,58.082469776928839,0.20068716700717865,141.34707255845956,0.0014028414293237256,0.30044304974542446,0.30044304974542446,0,0,0,0,0,0,0,-6.4652072149784523E-06,64.172964562579,17.19355448862785,81.979713531257786,36.971534696213,0.82506503479123527,0.82506503479123527,0,0,0,0,0,0,3.8016683023056608E-05,0,0,0,1.4675749920231904,-0.022678074425316979,0.022404314905092832,-0.020784031278938162,-0.022094841063053674,-0.02086577390221115
70,58.085232792911178,0.20216314707800823,141.38545256723688,0.00097165584699889537,0.30044938432212487,0.30044938432212487,0,0,0,0,0,0,0,-6.33457670040638E-06,64.181930802694552,17.204320187242477,81.967650616884839,36.960109267679094,0.825077991664138,0.825077991664138,0,0,0,0,0,0,-1.2956872902702976E-05,0,0,0,1.4675749920231904,-0.022678074425316979,0.022300591224976664,-0.020681140034983024,-0.022094841063053674,-0.020761964081802139
80,58.0670131478566,0.20365170459102167,141.38342991221742,0.0006297074365881173,0.3004546720739163,0.3004546720739163,0,0,0,0,0,0,0,-5.2877517914273753E-06,64.192323166223787,17.225587629722174,81.955495016856332,36.9766486455134,0.82507390399865721,0.82507390399865721,0,0,0,0,0,0,4.087665480767555E-06,0,0,0,1.4675749920231904,-0.021956499329965982,0.021574525464163469,-0.019755118839386767,-0.021365294424179261,-0.020139105159348074
90,58.032850774308081,0.20491335976926672,141.36008702751946,0.00038052385258910068,0.30045323325864787,0.30045323325864787,0,0,0,0,0,0,0,1.4388152684285949E-06,64.188377779425238,17.246260502815829,81.947103017747651,36.997222976855738,0.82506293551311038,0.82506293551311038,0,0,0,0,0,0,1.0968485546825057E-05,0,0,0,1.4675749920231904,-0.022781156581795692,0.022819209625557516,-0.0208869225228933,-0.022199062011464304,-0.021281013183847192
100,57.993177481884892,0.20778418883985955,141.3557657406183,0.00021117529704027624,0.30044905172300579,0.30044905172300579,0,0,0,0,0,0,0,4.1815356420782379E-06,64.186348602422655,17.276786864453086,81.945494379206,37.016364459346434,0.82506939841465154,0.82506939841465154,0,0,0,0,0,0,-6.4629015411599156E-06,0,0,0,1.4675749920231904,-0.022574992268838263,0.022404314905092832,-0.020784031278938162,-0.021990620114643044,-0.020969583722620162
