Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\RampDisturbanceTest_230425.csv,
Starttime of export,133898780827320000,onsdag 23. april 2025,12:34:42.732
Endtime of export,133898781171020000,onsdag 23. april 2025,12:35:17.102


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,14.766439516085603,0.21909246502130131,142.87945724923333,0.0016045531918989198,0.7,0.70135892557581136,0,0,0,0,0,0,0,-0.0013042299876566688,48.325108557859835,14.087524648266644,80.657966158340727,76.970741424846608,0.75,0.750045330068666,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
10,14.743275307221435,0.21830142392876428,142.87947932602208,0.00085350840479165007,0.7,0.70136638623828917,0,0,0,0,0,0,0,-0.0013042299876566688,48.329396008518707,14.100748110832267,80.6598035154027,76.9742112168189,0.75,0.74999721638672412,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
20,14.741192047045827,0.22008234251509376,142.86551644591836,0.0022951940987132793,0.7,0.70136890326951418,0,0,0,0,0,0,0,-0.0013042299876566688,48.329336702583547,14.114019876064306,80.652132112371618,76.970909561561072,0.75,0.75012570785111277,0,0.0016158719714240988,1.7132888861665668E-06,9.51827158981426E-07,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
30,14.744921320113507,0.22271976739904986,142.85709601477529,0.010197932168557728,0.7,0.70136340734145719,0,0,0,0,0,0,0,-0.0013042299876566688,48.344525703237423,14.111896426849375,80.639557615406048,76.953698549904416,0.75,0.75021202165807865,0,0.0034533489099572989,3.661542753458908E-06,2.0341904185882823E-06,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
40,14.744913548379898,0.22151060261984268,142.85434182797528,0.017810574249141779,0.7,0.70134979572117606,0,0,0,0,0,0,0,-0.0013042299876566688,48.371694711751921,14.112844468817491,80.642034062170069,76.933039115072816,0.75,0.75009121280279578,0,0.0018381440186772124,1.9489611640442685E-06,1.0827562022468156E-06,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
50,14.750883561902413,0.21879334841597217,142.85261108702903,0.020293884533483242,0.7,0.70133472945875608,0,0,0,0,0,0,0,-0.0013042299876566688,48.390374545919954,14.124530890767527,80.648857177266407,76.915990853949154,0.75,0.75000417053516089,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
60,14.762370966703623,0.21774141683884013,142.86113355200729,0.020126616625090587,0.7,0.70133225228274976,0,0,0,0,0,0,0,-0.0013042299876566688,48.39476723705819,14.142942159650305,80.658438613363032,76.895572723583967,0.75,0.75010815149044741,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
70,14.76306076020515,0.21949469426152077,142.85950430632113,0.016909885677760327,0.7,0.70133571557389685,0,0,0,0,0,0,0,-0.0013042299876566688,48.399796401918,14.163351287286114,80.663928073243312,76.876856449764091,0.75,0.75014263476546672,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
80,14.760785794195705,0.22221169157467591,142.8479322186956,0.014756502833062783,0.7,0.7013358196244649,0,0,0,0,0,0,0,-0.0013042299876566688,48.396695841546347,14.170016970705994,80.661036277622927,76.867532516555755,0.75,0.75001604772547248,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
90,14.763277056922114,0.22492954874626314,142.84521869290975,0.015314770775130682,0.7,0.701334425508425,0,0,0,0,0,0,0,-0.0013042299876566688,48.396211925345106,14.173391453393844,80.645367250038362,76.873339441545752,0.75,0.75001946149970611,0,-0.0014152011130903475,-1.5005200793298977E-06,-8.3362226629438761E-07,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
100,14.759856737489335,0.22722336887991651,142.82777394083675,0.015075807281251489,0.7,0.7013380272204589,0,0,0,0,0,0,0,-0.0013042299876566688,48.391239033207647,14.174787079425624,80.626508438508921,76.888727074307553,0.75,0.75016721037415968,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
110,14.756268943529621,0.22706563778806135,142.80464841161069,0.012616174611372676,0.7,0.70134327038829558,0,0,0,0,0,0,0,-0.0013042299876566688,48.385062402825049,14.171279221883,80.632062897737569,76.904032007526453,0.75,0.75016176847057336,0,0.0016296875186583293,1.7279373384890954E-06,9.5996518804949727E-07,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
120,14.751261243812245,0.22013217601720528,142.79978467573625,0.011467282511728502,0.7,0.70134841891414779,0,0,0,0,0,0,0,-0.0013042299876566688,48.38885072642897,14.158530832855607,80.657051263742019,76.9054727279803,0.75,0.75003958603226328,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
130,14.757846887322394,0.21510491947283569,142.80564287426571,0.014888607124769491,0.7,0.70135816073965751,0,0,0,0,0,0,0,-0.0013042299876566688,48.375474297134183,14.14369678159472,80.660022641579857,76.912010050148936,0.75,0.75008502655028853,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
140,14.751361889993214,0.21360991709931554,142.8076910556602,0.015979220975022471,0.7,0.7013629685797671,0,0,0,0,0,0,0,-0.0013042299876566688,48.3547082452315,14.147415712786049,80.639473265047727,76.917868574515069,0.75,0.75019106613926068,0,0.0014161893498965128,1.5015678944828589E-06,8.342043858238106E-07,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
150,14.732498351417709,0.21390661460343702,142.80392604086066,0.013965051414540811,0.7,0.70135397095018825,0,0,0,0,0,0,0,-0.0013042299876566688,48.343456525664976,14.15683220104483,80.6270070557439,76.905356188092568,0.75,0.75011973966521228,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
160,14.743526677125178,0.21494738295335752,142.80009078128191,0.012802035430152479,0.7,0.70133484910123423,0,0,0,0,0,0,0,-0.0013042299876566688,48.347690520684331,14.180635708901,80.618147124466262,76.89241231576392,0.75,0.75004382034207517,0,0,0,0,0,0,-0.00011304875906226197,0,0,0,1.6714164099328079,0,0,0,0,0
