Name,FireDragonCrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,C:\Users\Are-Laptop\Documents\Skole\Bachelor\TC3\TestLogs\Scope Project.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starttime of export,1.33873E+17,mandag 24. mars 2025,53:07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endtime of export,1.33873E+17,mandag 24. mars 2025,53:11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Main Pa DCV,Main Pa Cyl,Main Pb DCV,Ps,Main X Ref,Main Piston Position,Main X Dot Ref,Main Piston Velocity,Main Flow A,Main Flow B,Main FF,Main PID,Main U,Main Error,Jib Pa Cyl,Jib Pa DCV,Jib Pb Cyl,Jib Pb DCV,Jib X Ref,Jib Piston Position,Jib X Dot Ref,Jib Velocity,Jib Flow A,Jib Flow B,Jib FF,Jib PID,Jib Error,Jib U,Winch Pa,Winch Pb,Winch Distance,Joystick Extrude,Joystick Jib,Joystick Main,Joystick Rotation,Joystick Winch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.080707306,49.58976925,0.295214652,147.7019754,0.491342564,0.491342564,0,0,0,0,0,0,0,0,59.90021335,63.26418812,74.64423673,63.31138414,0.505885316,0.505885316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.08074936,49.59004245,0.295234337,147.7027561,0.491341147,0.491341147,0,0,0,0,0,0,0,0,59.90087085,63.26332556,74.643698,63.31109511,0.505885091,0.505885091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.080758049,49.59032548,0.295195171,147.7037354,0.491339968,0.491339968,0,0,0,0,0,0,0,0,59.90137693,63.26208792,74.64274328,63.31096253,0.505884865,0.505884865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.080736304,49.59076093,0.295198925,147.7052773,0.491338876,0.491338876,0,0,0,0,0,0,0,0,59.90169486,63.26075436,74.64194342,63.3111176,0.505885273,0.505885273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.080783299,49.59147811,0.295241768,147.7070366,0.491338003,0.491338003,0,0,0,0,0,0,0,0,59.90159913,63.25933868,74.64133601,63.3111486,0.505884832,0.505884832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.080940935,49.59249736,0.295320059,147.7084568,0.491337333,0.491337333,0,0,0,0,0,0,0,0,59.90141604,63.25823931,74.640569,63.31072908,0.505885518,0.505885518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.081198758,49.59345045,0.295333954,147.7094661,0.491336989,0.491336989,0,0,0,0,0,0,0,0,59.9010095,63.25752886,74.63975599,63.31009351,0.505884698,0.505884698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.081546848,49.59462866,0.295385504,147.7100006,0.491336943,0.491336943,0,0,0,0,0,0,0,0,59.90025639,63.25727198,74.63895246,63.30964913,0.505885671,0.505885671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.081975809,49.59605553,0.295471161,147.7105343,0.491337031,0.491337031,0,0,0,0,0,0,0,0,59.89981698,63.25699562,74.63825713,63.30913975,0.505885428,0.505885428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
