time,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,0.0713289503136548,21.8496255647322,0.28119667683837,150.716676059873,0.730296657602338,0.730296657602338,0,0,0,0,0,0,0,-7.18024248946847e-08,62.6342151157149,57.8683043681666,80.8303734882343,57.9194198911749,0.249798061648823,0.249798061648823,0,0,0,0,0,0,-4.44048671194297e-07,0,0,0,0.0512341924657387,-0.0217503350170086,0.0215745254641635,-0.0191377713756559,-0.0214695153725899,-0.0202429149797571
10,0.0715218385128861,21.8488566720893,0.281166579814492,150.718526454408,0.730296482367336,0.730296482367336,0,0,0,0,0,0,0,1.75235001842466e-07,62.6334645192988,57.8699526444832,80.8293534494141,57.9199155200964,0.249797980175393,0.249797980175393,0,0,0,0,0,0,8.14734305853992e-08,0,0,0,0.0512341924657387,-0.0216472528605298,0.0215745254641635,-0.0191377713756559,-0.0212610734757686,-0.0200352953389391
20,0.0716561947098175,21.847828210631,0.281137592641076,150.720044480227,0.730296220242156,0.730296220242156,0,0,0,0,0,0,0,2.62125179784078e-07,62.6325504098513,57.8713791889514,80.8286005042041,57.9204319434809,0.249796629997656,0.249796629997656,0,0,0,0,0,0,1.35017773705837e-06,0,0,0,0.0512341924657387,-0.021956499329966,0.0219894201846282,-0.0197551188393868,-0.0215737363210005,-0.0202429149797571
30,0.0717848824026014,21.8466154981362,0.281061538237712,150.721301870808,0.730296154991047,0.730296154991047,0,0,0,0,0,0,0,6.52511087384511e-08,62.6318764687047,57.8727908439663,80.8282866633938,57.9209652748233,0.249796657821634,0.249796657821634,0,0,0,0,0,0,-2.78239788431556e-08,0,0,0,0.0512341924657387,-0.021956499329966,0.021885696504512,-0.0195493363514765,-0.0214695153725899,-0.0200352953389391
40,0.0718597043441271,21.8457698162008,0.280991092037479,150.722509593204,0.730295994369279,0.730295994369279,0,0,0,0,0,0,0,1.60621768219293e-07,62.6316167872731,57.8746170956653,80.8278922192033,57.9213673275189,0.249797783051376,0.249797783051376,0,0,0,0,0,0,-1.12522974132778e-06,0,0,0,0.0512341924657387,-0.0215441707040511,0.0213670781039311,-0.0190348801317008,-0.0208441896821261,-0.019516246236894
50,0.0718851515337536,21.8454546615609,0.280877840920556,150.723426328424,0.730295747485374,0.730295747485374,0,0,0,0,0,0,0,2.46883904875261e-07,62.6317355805892,57.8765729297128,80.8274258910637,57.9214072149482,0.249797533130206,0.249797533130206,0,0,0,0,0,0,2.49921169398482e-07,0,0,0,0.0512341924657387,-0.0215441707040511,0.0213670781039311,-0.0191377713756559,-0.0209484106305367,-0.019827675698121
60,0.071913703733329,21.8455277511869,0.280629649732172,150.724267085375,0.730295560483324,0.730295560483324,0,0,0,0,0,0,0,1.87002050067164e-07,62.6321505563973,57.878301760112,80.8267513287086,57.9214543110888,0.249797453598388,0.249797453598388,0,0,0,0,0,0,7.95318180479843e-08,0,0,0,0.0512341924657387,-0.0218534171734873,0.0215745254641635,-0.0194464451075213,-0.0215737363210005,-0.0202429149797571
70,0.0720413581163135,21.845761526462,0.280404067446101,150.725035296134,0.73029529127614,0.73029529127614,0,0,0,0,0,0,0,2.69207183545284e-07,62.6325446009651,57.8797687398283,80.825648733916,57.9221342971435,0.249798951990424,0.249798951990424,0,0,0,0,0,0,-1.49839203600344e-06,0,0,0,0.0512341924657387,-0.0223688279558808,0.0220931438647443,-0.0197551188393868,-0.0220948410630537,-0.0207619640818021
80,0.0721624189384664,21.8458998218357,0.280296361448324,150.725589795514,0.730294948231167,0.730294948231167,0,0,0,0,0,0,0,3.4304497387172e-07,62.6331589830601,57.8809431519981,80.8241123006174,57.9229545154328,0.24979935353864,0.24979935353864,0,0,0,0,0,0,-4.01548216039105e-07,0,0,0,0.0512341924657387,-0.0223688279558808,0.0223005912249767,-0.0198580100833419,-0.0220948410630537,-0.0209695837226202
90,0.0723733799561375,21.8459023825616,0.280200096937137,150.726188348826,0.730294539263743,0.730294539263743,0,0,0,0,0,0,0,4.08967423815021e-07,62.6340680843194,57.8820873215875,80.8222830300793,57.9236583026641,0.249798912160864,0.249798912160864,0,0,0,0,0,0,4.41377776355667e-07,0,0,0,0.0512341924657387,-0.0217503350170086,0.0214708017840473,-0.0191377713756559,-0.0212610734757686,-0.0201391051593481
100,0.0727136129061855,21.8459258382888,0.280211023082824,150.726872871444,0.730294346854685,0.730294346854685,0,0,0,0,0,0,0,1.92409058019649e-07,62.6349529703093,57.8833439975764,80.8204833221946,57.924542383579,0.249800391181758,0.249800391181758,0,0,0,0,0,0,-1.47902089353558e-06,0,0,0,0.0512341924657387,-0.0211318420781363,0.0208484597033503,-0.0186233151558802,-0.0205315268368942,-0.019308626596076
110,0.0731220949030368,21.8461128184324,0.280223186242942,150.727681214849,0.730294352520724,0.730294352520724,0,0,0,0,0,0,0,-5.66603897134144e-09,62.6358122993519,57.8845054501577,80.8189586195494,57.9256354403897,0.249801559598918,0.249801559598918,0,0,0,0,0,0,-1.16841716077398e-06,0,0,0,0.0512341924657387,-0.0213380063910937,0.0211596307436988,-0.0190348801317008,-0.0208441896821261,-0.019516246236894
120,0.0736393417723643,21.846496247326,0.280236428481051,150.728599185404,0.73029440113472,0.73029440113472,0,0,0,0,0,0,0,-4.86139966060506e-08,62.6365485640858,57.8855755554294,80.8175459264113,57.9268182029751,0.249801176078321,0.249801176078321,0,0,0,0,0,0,3.83520597529996e-07,0,0,0,0.0512341924657387,-0.021956499329966,0.0216782491442796,-0.0197551188393868,-0.0216779572694112,-0.0205543444409841
130,0.0742054540149829,21.8469125765816,0.280250601634548,150.72975799659,0.730294351184218,0.730294351184218,0,0,0,0,0,0,0,4.99505021789304e-08,62.6369770214668,57.8866063985918,80.8163372527638,57.9278852593367,0.249801908677239,0.249801908677239,0,0,0,0,0,0,-7.3259891852917e-07,0,0,0,0.0512341924657387,-0.0227811565817957,0.022508038585209,-0.020681140034983,-0.0223032829598749,-0.0212810131838472
140,0.0746692759512639,21.8473572391481,0.280265567031103,150.731179865967,0.730294349128906,0.730294349128906,0,0,0,0,0,0,0,2.05531258679059e-09,62.6370269452568,57.8876455916767,80.8155120131586,57.9290836427813,0.249803655327722,0.249803655327722,0,0,0,0,0,0,-1.74665048288669e-06,0,0,0,0.0512341924657387,-0.0223688279558808,0.0219894201846282,-0.0200637925712522,-0.0215737363210005,-0.0203467248001661
150,0.0750862586612035,21.8481151193271,0.280281195192836,150.732257490704,0.730294390721042,0.730294390721042,0,0,0,0,0,0,0,-4.15921367347138e-08,62.6366835810747,57.8886400972614,80.8148466228661,57.9305897244575,0.249803948426484,0.249803948426484,0,0,0,0,0,0,-2.93098762177424e-07,0,0,0,0.0512341924657387,-0.0211318420781363,0.0206410123431179,-0.0186233151558802,-0.0204273058884836,-0.019204816775667
160,0.0755553037839775,21.8493481649378,0.280297365530474,150.73306539818,0.7302946094223,0.7302946094223,0,0,0,0,0,0,0,-2.18701257881371e-07,62.6363205814056,57.8897345387171,80.814425890703,57.9322738314518,0.249804180296441,0.249804180296441,0,0,0,0,0,0,-2.31869956707209e-07,0,0,0,0.0512341924657387,-0.0215441707040511,0.021263354423815,-0.0192406626196111,-0.0209484106305367,-0.019827675698121
170,0.0759253547641379,21.8506719357342,0.280313966029603,150.733913522739,0.730295263640342,0.730295263640342,0,0,0,0,0,0,0,-6.54218041851173e-07,62.6360857027737,57.891156679787,80.8145188952956,57.9340653033647,0.24980593586388,0.24980593586388,0,0,0,0,0,0,-1.7555674386438e-06,0,0,0,0.0512341924657387,-0.021956499329966,0.0216782491442796,-0.0197551188393868,-0.0212610734757686,-0.0203467248001661
180,0.0761555541882454,21.8517357937617,0.280282700032465,150.734746749626,0.730296037084854,0.730296037084854,0,0,0,0,0,0,0,-7.73444512103261e-07,62.635631137618,57.8923416655796,80.8145976910465,57.9360921062488,0.249806702204369,0.249806702204369,0,0,0,0,0,0,-7.66340489732897e-07,0,0,0,0.0512341924657387,-0.0221626636429234,0.0219894201846282,-0.0198580100833419,-0.0214695153725899,-0.0206581542613931
190,0.0763056130457158,21.8524622485203,0.280207944277061,150.735514920265,0.730296778603934,0.730296778603934,0,0,0,0,0,0,0,-7.41519079694442e-07,62.6351227800152,57.8932095052241,80.8145668436499,57.9383735205463,0.249806880273115,0.249806880273115,0,0,0,0,0,0,-1.78068745471105e-07,0,0,0,0.0512341924657387,-0.0224719101123595,0.0221968675448605,-0.019960901327297,-0.021990620114643,-0.0208657739022112
200,0.0763338671325782,21.8529747987432,0.280142051183854,150.73617258989,0.730297350602719,0.730297350602719,0,0,0,0,0,0,0,-5.71998785114936e-07,62.634904767041,57.8938813392882,80.8145326033169,57.9407815296236,0.249808418120809,0.249808418120809,0,0,0,0,0,0,-1.53784769391097e-06,0,0,0,0.0512341924657387,-0.0215441707040511,0.0213670781039311,-0.0191377713756559,-0.021156852527358,-0.0199314855185301
210,0.0762510281929108,21.853145849324,0.280036300474466,150.736486016492,0.730297903390507,0.730297903390507,0,0,0,0,0,0,0,-5.5278778765544e-07,62.6346630026414,57.8943719320743,80.8144472138127,57.9432471852276,0.249809608448473,0.249809608448473,0,0,0,0,0,0,-1.19032766421334e-06,0,0,0,0.0512341924657387,-0.0216472528605298,0.0214708017840473,-0.0193435538635662,-0.021156852527358,-0.0200352953389391
220,0.0760672947279816,21.8532942272315,0.279894651290421,150.73624358685,0.730298298987741,0.730298298987741,0,0,0,0,0,0,0,-3.95597234414957e-07,62.6342559730645,57.8947918372722,80.8139300140495,57.9459002097002,0.249809055075776,0.249809055075776,0,0,0,0,0,0,5.53372697026377e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.0215745254641635,-0.0194464451075213,-0.0213652944241793,-0.0201391051593481
230,0.0758405502382031,21.8536141329277,0.279769045593164,150.735977579107,0.73029841229597,0.73029841229597,0,0,0,0,0,0,0,-1.13308229243714e-07,62.6337963560725,57.8948565209055,80.8133105728895,57.9488098659586,0.249809127689912,0.249809127689912,0,0,0,0,0,0,-7.26141362594745e-08,0,0,0,0.0512341924657387,-0.0215441707040511,0.0214708017840473,-0.0193435538635662,-0.0213652944241793,-0.0199314855185301
240,0.0756237046323804,21.8536071329333,0.279610360768968,150.735883910109,0.730298405455693,0.730298405455693,0,0,0,0,0,0,0,6.84027756658878e-09,62.633290638955,57.8946454846684,80.8126486136181,57.9517972847452,0.249810402540898,0.249810402540898,0,0,0,0,0,0,-1.27485098599944e-06,0,0,0,0.0512341924657387,-0.0221626636429234,0.0220931438647443,-0.0198580100833419,-0.0217821782178218,-0.0206581542613931
250,0.0753685414925288,21.8535914603481,0.279470355512652,150.735899443129,0.730298426674309,0.730298426674309,0,0,0,0,0,0,0,-2.12186161974159e-08,62.6329858790448,57.8948587620993,80.8117577560116,57.9547955695087,0.24981008108613,0.24981008108613,0,0,0,0,0,0,3.21454768470453e-07,0,0,0,0.0512341924657387,-0.0218534171734873,0.0215745254641635,-0.0194464451075213,-0.0214695153725899,-0.0202429149797571
260,0.0750794729687109,21.8540016837575,0.279347922720146,150.735773448918,0.730298473374803,0.730298473374803,0,0,0,0,0,0,0,-4.67004945825522e-08,62.6327690371019,57.8956023863891,80.8112401711867,57.9579846895639,0.249808938599061,0.249808938599061,0,0,0,0,0,0,1.14248706836739e-06,0,0,0,0.0512341924657387,-0.0217503350170086,0.0215745254641635,-0.0194464451075213,-0.0212610734757686,-0.0200352953389391
270,0.0747124601122852,21.8545091821525,0.279193791390278,150.735470807761,0.73029854310855,0.73029854310855,0,0,0,0,0,0,0,-6.97337468880121e-08,62.6323921925069,57.896681717751,80.8110165414425,57.9613350975922,0.249809423146597,0.249809423146597,0,0,0,0,0,0,-4.84547535317681e-07,0,0,0,0.0512341924657387,-0.0217503350170086,0.0214708017840473,-0.0193435538635662,-0.0213652944241793,-0.0199314855185301
280,0.0743240706813124,21.8549587296869,0.279011386666964,150.735249375364,0.730298633553571,0.730298633553571,0,0,0,0,0,0,0,-9.04450203620399e-08,62.6320638220375,57.8979662792142,80.8106760862858,57.9645782705489,0.249809649800206,0.249809649800206,0,0,0,0,0,0,-2.26653608909055e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.021263354423815,-0.0192406626196111,-0.0212610734757686,-0.0199314855185301
290,0.0739659303466445,21.855353700996,0.278803940962736,150.735199195684,0.730298605008166,0.730298605008166,0,0,0,0,0,0,0,2.85454051507372e-08,62.6318291076496,57.8996737277594,80.8102305306123,57.9677591264563,0.249808218220024,0.249808218220024,0,0,0,0,0,0,1.43158018206524e-06,0,0,0,0.0512341924657387,-0.0224719101123595,0.0221968675448605,-0.0200637925712522,-0.021990620114643,-0.0209695837226202
300,0.073588572227303,21.8560347366004,0.278719077018754,150.735257056807,0.730298605662519,0.730298605662519,0,0,0,0,0,0,0,-6.54353793372309e-10,62.6318734254922,57.9014223956045,80.8101729013759,57.9708224522471,0.249807810046115,0.249807810046115,0,0,0,0,0,0,4.08173908672538e-07,0,0,0,0.0512341924657387,-0.0221626636429234,0.0221968675448605,-0.0198580100833419,-0.0216779572694112,-0.0206581542613931
310,0.0730988079238424,21.8567809572819,0.27864985173928,150.734979393969,0.730298770423708,0.730298770423708,0,0,0,0,0,0,0,-1.6476118858133e-07,62.6318826490639,57.902767980549,80.8104689558526,57.97367021205,0.249808493992503,0.249808493992503,0,0,0,0,0,0,-6.83946387802781e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.021263354423815,-0.0191377713756559,-0.0208441896821261,-0.019723865877712
320,0.0725567519970542,21.8571980816982,0.278546955901176,150.734541695908,0.730299084059131,0.730299084059131,0,0,0,0,0,0,0,-3.13635423188074e-07,62.631329738463,57.9039337590331,80.8108933261658,57.9762621251503,0.249807641674182,0.249807641674182,0,0,0,0,0,0,8.52318320448964e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.0209521833834664,-0.0191377713756559,-0.0208441896821261,-0.019516246236894
330,0.0720173838076547,21.8574582845273,0.278461980506409,150.734441839925,0.730299394597709,0.730299394597709,0,0,0,0,0,0,0,-3.10538577519281e-07,62.6304114051151,57.9049792988274,80.8111919706314,57.9785143072275,0.249807131405984,0.249807131405984,0,0,0,0,0,0,5.10268198139485e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.021263354423815,-0.0191377713756559,-0.0209484106305367,-0.019723865877712
340,0.0714825938698547,21.8583937614882,0.278345475757282,150.734216464295,0.730299563584381,0.730299563584381,0,0,0,0,0,0,0,-1.68986671877924e-07,62.629501095354,57.9061039280285,80.8114230748512,57.9806890192186,0.249808041089311,0.249808041089311,0,0,0,0,0,0,-9.09683326721922e-07,0,0,0,0.0512341924657387,-0.021956499329966,0.0216782491442796,-0.0194464451075213,-0.0215737363210005,-0.0202429149797571
350,0.0710022795354553,21.8603263593755,0.27834528191613,150.733733033451,0.730299740434266,0.730299740434266,0,0,0,0,0,0,0,-1.76849885735741e-07,62.6286498828797,57.9074407577743,80.8117844995244,57.9829291382108,0.249807712317669,0.249807712317669,0,0,0,0,0,0,3.28771642299497e-07,0,0,0,0.0512341924657387,-0.0224719101123595,0.0224043149050928,-0.0201666838152073,-0.0220948410630537,-0.0208657739022112
